X	Abeta40-5drug.txt: 17.25
6.0	2.22402229966e-09
30.8848484848	6.12771567932e-08
55.7696969697	2.19215151809e-07
80.6545454545	5.28852607928e-07
105.539393939	1.09373234969e-06
130.424242424	2.10274952916e-06
155.309090909	3.8933159473e-06
180.193939394	7.0641830977e-06
205.078787879	1.2675640357e-05
229.963636364	2.26039979742e-05
254.848484848	4.0168778799e-05
279.733333333	7.12419902483e-05
304.618181818	0.000126209284464
329.503030303	0.000223435272797
354.387878788	0.000395380704314
379.272727273	0.000699382435737
404.157575758	0.00123659289979
429.042424242	0.00218507608478
453.927272727	0.00385708594136
478.812121212	0.00679648387424
503.696969697	0.0119392007592
528.581818182	0.0208619132665
553.466666667	0.0361220409486
578.351515152	0.0615962145859
603.236363636	0.102475961382
628.121212121	0.164202062721
653.006060606	0.249657754051
677.890909091	0.355547591378
702.775757576	0.47146496533
727.660606061	0.584056546633
752.545454545	0.683002883765
777.43030303	0.763750555111
802.315151515	0.826443088821
827.2	0.873614095692
852.084848485	0.908441406475
876.96969697	0.933871238584
901.854545455	0.952320633523
926.739393939	0.965656676192
951.624242424	0.975276443716
976.509090909	0.98220730662
1001.39393939	0.987197511259
1026.27878788	0.990789081129
1051.16363636	0.993373464301
1076.04848485	0.995232880826
1100.93333333	0.996570605121
1125.81818182	0.997532969781
1150.7030303	0.998225283884
1175.58787879	0.998723320527
1200.47272727	0.999081595415
1225.35757576	0.99933932823
1250.24242424	0.999524733507
1275.12727273	0.999658108349
1300.01212121	0.999754054029
1324.8969697	0.999823074317
1349.78181818	0.999872725317
1374.66666667	0.999908442663
1399.55151515	0.999934136581
1424.43636364	0.999952619964
1449.32121212	0.999965916319
1474.20606061	0.999975481291
1499.09090909	0.999982362025
1523.97575758	0.999987311806
1548.86060606	0.999990872519
1573.74545455	0.999993433982
1598.63030303	0.999995276617
1623.51515152	0.99999660215
1648.4	0.999997555695
1673.28484848	0.999998241645
1698.16969697	0.999998735096
1723.05454545	0.999999090069
1747.93939394	0.999999345424
1772.82424242	0.999999529119
1797.70909091	0.999999661263
1822.59393939	0.999999756324
1847.47878788	0.999999824707
1872.36363636	0.9999998739
1897.24848485	0.999999909288
1922.13333333	0.999999934744
1947.01818182	0.999999953057
1971.9030303	0.999999966231
1996.78787879	0.999999975708
2021.67272727	0.999999982525
2046.55757576	0.999999987429
2071.44242424	0.999999990957
2096.32727273	0.999999993495
2121.21212121	0.99999999532
2146.0969697	0.999999996634
2170.98181818	0.999999997578
2195.86666667	0.999999998258
2220.75151515	0.999999998747
2245.63636364	0.999999999098
2270.52121212	0.999999999351
2295.40606061	0.999999999533
2320.29090909	0.999999999664
2345.17575758	0.999999999759
2370.06060606	0.999999999826
2394.94545455	0.999999999875
2419.83030303	0.99999999991
2444.71515152	0.999999999935
2469.6	0.999999999953
