24910,24906
24126,22959
23064,22831
22181,22747
21860,23301
21856,20541
21171,21381
21625,20496
21756,21609
21470,21123
21047,20993
21585,21492
21885,21175
21939,21425
20657,22701
22069,21428
21472,21379
21727,20922
20545,21575
22586,21590
21935,21296
19840,21751
21890,21660
21666,22895
20788,22612
21646,23137
22478,22907
22216,21715
22383,22821
21562,23270
23534,23114
24515,25628
25032,24743
25928,26348
24564,26197
27417,26966
27846,27193
28201,28075
30758,28538
31316,28881
30825,32254
32925,31424
34449,34293
36591,35654
38016,34154
37633,37543
39282,38502
42055,40840
43262,40850
45715,45457
45909,46275
46399,48040
52061,48230
53757,51727
53375,52491
53282,56181
54234,55102
57735,56683
62124,60309
67723,62406
65023,65010
67189,63232
69037,64221
70191,66922
70308,67540
74930,68160
75728,71309
76293,70157
74791,72414
77806,73744
78431,73598
78634,73490
78263,72172
80087,74040
79830,78066
82549,75601
80906,76692
81460,78085
80953,77778
82845,74869
84687,80847
82678,79905
84257,81798
85794,82032
84779,80900
87968,81462
84747,78919
84752,81627
83527,80343
88895,82581
86127,83777
87079,83010
86543,80574
90160,83126
88344,82944
87986,85562
91898,81825
89242,85405
87656,82148
90123,85831
92521,85108
91116,83580
92967,86720
89916,86593
91612,85886
88909,88698
90690,84509
92214,85321
89429,86179
89787,85241
92700,82922
93137,87410
91055,89623
90497,86621
92754,86425
90510,85871
92298,88142
90992,85896
92741,83189
95597,90315
95028,90175
92523,88238
92005,89324
92111,85546
91003,87042
92074,88410
92373,91468
95489,88257
91556,83711
95092,86817
93820,87951
96220,89373
95505,89024
95766,86201
97849,91642
94455,88767
98390,88086
95816,91769
96372,88542
97098,89338
96554,88905
96251,88250
95188,90189
96047,88022
95331,88105
98180,91785
97780,88956
98310,88666
99088,88459
103642,90480
98592,90871
99752,91859
98911,90676
101367,90027
97971,93072
98086,93011
101102,87348
98041,91656
99019,89403
98784,88305
96578,91706
94962,90010
97575,94736
95838,92599
101922,91382
98821,91426
98993,87688
98721,92715
99086,90207
98614,92725
97962,89019
102258,90922
99581,91747
101070,93920
102343,92181
101538,90794
100521,91367
98074,92081
99198,92573
97819,93171
97687,91514
97849,90853
98826,90904
96333,92911
100505,91997
98613,90639
96020,92279
98171,90426
100434,92745
97802,93426
96282,93356
102758,90978
98122,90696
99365,92402
100772,91387
98747,93564
99523,91657
98026,94850
105578,89262
98025,95072
98150,90853
100203,93108
98719,94243
98650,92503
100258,94411
100377,91637
100772,92447
97700,88830
98394,94142
98461,90222
96708,87479
96914,92939
99276,90334
97083,91354
98035,92675
95218,89554
96985,87637
96632,91619
100473,92401
96187,93558
95365,92726
94941,89894
98218,94980
95853,92664
99009,89867
97861,91444
96203,90062
103486,90281
98135,90757
101176,93210
101030,94843
101335,90805
93311,91771
95438,90808
94230,93029
100145,94125
94467,91254
96857,90479
93893,91641
93891,91916
97908,90055
95437,92234
95083,93231
98093,91034
96883,92317
98155,91899
98161,88756
94772,89997
96813,93760
94158,88672
94346,92370
96620,88691
97594,89351
96652,91399
95648,89488
97586,87931
96166,90339
93721,91261
94023,92286
94343,88695
94051,92321
97746,93241
99157,89249
94590,91390
94052,91469
95605,93005
93377,92905
94927,90645
95607,87941
93616,92328
91803,92585
89251,90225
93128,90798
92971,87912
93292,89938
90064,93341
92388,91855
92309,91133
90293,89463
