ID          0  POPULATION       1377  CENTER      49367
ID          1  POPULATION        652  CENTER      63058
ID          2  POPULATION        621  CENTER      29441
ID          3  POPULATION        567  CENTER      61232
ID          4  POPULATION        543  CENTER      16204
ID          5  POPULATION        541  CENTER      14590
ID          6  POPULATION        540  CENTER      39512
ID          7  POPULATION        477  CENTER      43614
ID          8  POPULATION        455  CENTER      36493
ID          9  POPULATION        419  CENTER       7766
ID         10  POPULATION        402  CENTER      57230
ID         11  POPULATION        385  CENTER      55287
ID         12  POPULATION        339  CENTER      12209
ID         13  POPULATION        324  CENTER      20035
ID         14  POPULATION        303  CENTER      56056
ID         15  POPULATION        272  CENTER      13902
ID         16  POPULATION        252  CENTER      62810
ID         17  POPULATION        246  CENTER      55582
ID         18  POPULATION        243  CENTER      30008
ID         19  POPULATION        237  CENTER      35063
ID         20  POPULATION        234  CENTER      21423
ID         21  POPULATION        229  CENTER      52372
ID         22  POPULATION        226  CENTER      19363
ID         23  POPULATION        223  CENTER      65260
ID         24  POPULATION        222  CENTER      54227
ID         25  POPULATION        212  CENTER      36790
ID         26  POPULATION        211  CENTER       9061
ID         27  POPULATION        201  CENTER       8176
ID         28  POPULATION        197  CENTER      27656
ID         29  POPULATION        196  CENTER      41811
ID         30  POPULATION        188  CENTER      64468
ID         31  POPULATION        185  CENTER      58233
ID         32  POPULATION        179  CENTER       7918
ID         33  POPULATION        179  CENTER      45891
ID         34  POPULATION        178  CENTER      40862
ID         35  POPULATION        173  CENTER      63538
ID         36  POPULATION        163  CENTER      68052
ID         37  POPULATION        161  CENTER      48104
ID         38  POPULATION        160  CENTER      28916
ID         39  POPULATION        160  CENTER      62170
ID         40  POPULATION        155  CENTER      14839
ID         41  POPULATION        153  CENTER       9489
ID         42  POPULATION        149  CENTER      18065
ID         43  POPULATION        149  CENTER      45017
ID         44  POPULATION        148  CENTER      33536
ID         45  POPULATION        147  CENTER      34421
ID         46  POPULATION        146  CENTER      53416
ID         47  POPULATION        144  CENTER      63272
ID         48  POPULATION        142  CENTER      12038
ID         49  POPULATION        138  CENTER      34055
ID         50  POPULATION        136  CENTER      16252
ID         51  POPULATION        135  CENTER      57065
ID         52  POPULATION        135  CENTER      68809
ID         53  POPULATION        134  CENTER      18041
ID         54  POPULATION        131  CENTER       5539
ID         55  POPULATION        128  CENTER      28790
ID         56  POPULATION        127  CENTER      42134
ID         57  POPULATION        127  CENTER      56510
ID         58  POPULATION        124  CENTER      24233
ID         59  POPULATION        124  CENTER      45470
ID         60  POPULATION        122  CENTER      23231
ID         61  POPULATION        120  CENTER      25482
ID         62  POPULATION        116  CENTER       3380
ID         63  POPULATION        115  CENTER      42048
ID         64  POPULATION        113  CENTER      18527
ID         65  POPULATION        112  CENTER      32556
ID         66  POPULATION        111  CENTER      14941
ID         67  POPULATION        111  CENTER      21398
ID         68  POPULATION        110  CENTER      11476
ID         69  POPULATION        108  CENTER       9775
ID         70  POPULATION        108  CENTER       9907
ID         71  POPULATION        108  CENTER      48942
ID         72  POPULATION        107  CENTER      15960
ID         73  POPULATION        107  CENTER      46356
ID         74  POPULATION        105  CENTER      62969
ID         75  POPULATION        104  CENTER      20024
ID         76  POPULATION        104  CENTER      36154
ID         77  POPULATION        104  CENTER      44895
ID         78  POPULATION        104  CENTER      50670
ID         79  POPULATION        101  CENTER      28879
ID         80  POPULATION        101  CENTER      54221
ID         81  POPULATION        100  CENTER      16688
ID         82  POPULATION        100  CENTER      22672
ID         83  POPULATION         98  CENTER      13240
ID         84  POPULATION         98  CENTER      32907
ID         85  POPULATION         95  CENTER      37383
ID         86  POPULATION         94  CENTER      63390
ID         87  POPULATION         93  CENTER      35269
ID         88  POPULATION         92  CENTER      20227
ID         89  POPULATION         91  CENTER       8957
ID         90  POPULATION         91  CENTER      32209
