15Abetaalone.txt: column 1 X	15Abetaalone.txt: column 1 Y
0.0	0.0389126752633
3.0	0.0203083583192
7.0	0.0122017537189
10.0	0.00561428594707
13.0	0.00720154550327
17.0	-0.0116275764423
20.0	-0.0105716741624
23.0	-0.0135077637277
27.0	-0.00503329639769
30.0	-0.0102923709787
33.0	-0.0140595578224
36.0	-0.00699523095642
40.0	-0.00711103959356
43.0	-0.00504010867046
46.0	-0.0050809823071
50.0	-0.0041340763916
53.0	-0.0085348046032
56.0	-0.00991088370341
60.0	-0.0135145760005
63.0	0.000491456821507
66.0	-0.00594614094932
70.0	-0.0171182682976
73.0	-0.00377302593462
76.0	0.00311418183925
80.0	-0.00479486685062
83.0	0.00462650639494
86.0	0.0087274946045
90.0	-0.00117755000797
93.0	0.00749447323252
96.0	0.00496030776083
100.0	0.0173313951173
103.0	0.0411402884601
106.0	0.0386333720795
109.0	0.0556708662857
113.0	0.0453502730341
116.0	0.0700243250192
119.0	0.0744931759585
123.0	0.0829199573792
126.0	0.103493021155
129.0	0.109630878924
133.0	0.129263849056
136.0	0.137915435478
139.0	0.167841749772
143.0	0.191705141297
146.0	0.191194220839
149.0	0.211671912796
153.0	0.229438320189
156.0	0.264255846333
159.0	0.272546382298
163.0	0.320641028078
166.0	0.327535048125
169.0	0.342896723229
172.0	0.382762143499
176.0	0.418138276011
179.0	0.42074056421
182.0	0.445244309376
186.0	0.444379150734
189.0	0.478999120968
192.0	0.533599487246
196.0	0.58602673851
199.0	0.585372760324
202.0	0.58801592216
206.0	0.607342340018
209.0	0.633603651559
212.0	0.638610672048
216.0	0.674320605926
219.0	0.701208646562
222.0	0.697209842444
226.0	0.702353108388
229.0	0.731952433588
232.0	0.735215512247
235.0	0.73586267816
239.0	0.724356749446
242.0	0.749507660525
245.0	0.775183116608
249.0	0.776913433892
252.0	0.773153059322
255.0	0.786416554411
259.0	0.780871364374
262.0	0.773943282963
265.0	0.827215256051
269.0	0.807112239097
272.0	0.830764450166
275.0	0.842828985247
279.0	0.828203035603
282.0	0.853755870776
285.0	0.81448993051
289.0	0.832971626544
292.0	0.815879634156
295.0	0.86769378087
298.0	0.856984888071
302.0	0.858245158534
305.0	0.837999083851
308.0	0.88002399459
312.0	0.866413073589
315.0	0.881808810057
318.0	0.883000957792
322.0	0.889295497835
325.0	0.856303660793
328.0	0.898199138349
332.0	0.909609695245
335.0	0.8896292992
338.0	0.923629352612
342.0	0.901979949739
345.0	0.908717287511
348.0	0.909459825244
352.0	0.893055872405
355.0	0.908969341604
358.0	0.89584209197
362.0	0.891890973761
365.0	0.895937463789
368.0	0.929487907197
371.0	0.930380314931
375.0	0.906128623858
378.0	0.920168718043
381.0	0.901107978824
385.0	0.928758994011
388.0	0.90456180112
391.0	0.898035643803
395.0	0.966035750626
398.0	0.96120584923
401.0	0.930945733571
405.0	0.934815104506
408.0	0.909800438882
411.0	0.912443600718
415.0	0.929058734013
418.0	0.951927533713
421.0	0.951280367799
425.0	0.893519106954
428.0	0.938766222715
431.0	0.937826129072
434.0	0.963862635612
438.0	0.956614377381
441.0	0.939161334536
444.0	0.990416874882
448.0	0.947710736866
451.0	0.969877872471
454.0	0.977432682976
458.0	0.959237102399
461.0	0.96960538156
464.0	0.96294979106
468.0	0.956423633743
471.0	0.962391184693
474.0	0.953480731905
478.0	0.94916856324
481.0	0.993645892177
484.0	0.971649063392
488.0	0.973284008857
491.0	0.977173816611
494.0	1.0219645101
497.0	0.990226131245
501.0	1.00485889316
504.0	0.991070853069
507.0	1.00338062997
511.0	1.00098952223
514.0	1.00135738496
517.0	0.983325298925
521.0	0.991820203074
524.0	0.983134555288
527.0	0.974053795681
531.0	0.982194461645
534.0	0.959632214219
537.0	1.0096274841
541.0	0.983236739379
544.0	1.01639207097
547.0	0.995566953099
551.0	0.971274388389
554.0	1.00366674543
557.0	0.989068044873
561.0	1.00300595497
564.0	0.973318070221
