25035,22852,24329
23025,23535,23249
22711,22375,22535
21387,22617,22001
20456,21540,21144
21029,21571,20009
21391,21542,20820
21314,20838,20765
21860,20877,20930
20090,20700,21693
20406,21787,20534
21323,19569,20206
20534,20378,19640
19596,20954,21771
20199,20165,21233
21382,21172,21103
20753,19963,20696
21675,20328,21145
21088,21414,20560
21257,19780,20116
20732,20119,20574
20652,21204,20694
21703,20393,20380
18741,21280,20017
20147,20402,21045
21538,20453,20471
22134,20409,19397
21213,21535,19240
19635,20495,19270
19842,20506,20477
21941,20822,21548
20695,21169,20778
21065,20123,20335
20344,21195,21060
19949,20939,20816
21206,20936,20681
19431,21886,20470
20803,19891,20798
20412,20966,21472
19014,19798,20653
20126,20959,21612
21643,21291,20759
20652,20159,20863
20850,21222,19931
20891,20081,20051
21580,20468,18911
21648,20574,19856
22775,22256,20628
20340,20288,20101
22650,19665,22019
22541,21298,21328
23334,20056,20566
22965,20124,20592
23087,21260,20329
24429,22077,21575
22872,21440,20887
24866,20899,21149
24853,21638,21193
25142,21328,21007
25147,23411,21433
27695,21404,22446
26818,22412,21561
27575,22425,22597
28455,22171,22908
30076,23358,22741
28621,22746,23887
29697,24603,25015
30253,23419,24329
30627,26158,25221
31796,24454,24451
33076,26353,25328
32747,24585,24455
33888,27256,27071
35610,26662,24576
37306,30287,27734
37020,30987,29224
35555,30554,28115
37064,31019,29796
40622,34945,28905
39826,30610,32153
40779,29946,29218
44048,34287,31863
45609,32533,33272
47329,41269,37977
49168,37045,33438
50373,36143,34645
50901,35934,38851
54437,34745,33896
56075,36237,39983
58196,40202,35407
53972,44701,36446
62442,45696,41325
59538,42068,43878
61057,48930,43567
62725,40996,40449
64186,45647,39017
64491,48803,40043
63225,55096,45618
67506,53935,46535
64738,44604,49050
64884,43446,41959
64589,47703,44460
66036,51921,40524
67555,51038,41417
70022,50880,41608
70376,43039,43837
68074,50391,50198
71881,52341,47426
70186,46574,47404
71268,54005,51603
69042,49170,53646
68843,47138,48516
69112,48293,48855
72087,49405,60269
73301,48405,60493
71348,53044,56146
71637,49985,57859
74731,47632,61519
72541,52928,59891
73855,54014,55791
74581,61986,60519
69729,53057,62777
72275,54953,61925
78681,59801,61577
74719,60360,61956
75032,62538,62383
72871,67320,63776
72718,68613,64577
74339,63396,65311
75948,60562,66170
74555,67349,63663
73989,67170,66216
75953,63087,65080
77472,62075,61632
75862,62159,60551
75772,68288,67815
72490,64913,63745
72040,66610,63747
73587,67339,68449
78049,70816,68351
75201,68079,66464
75358,69909,67005
73658,75035,64453
74367,69204,65936
75350,73089,66396
77099,73762,65901
75548,67928,65197
74713,67811,66910
73396,70222,65478
72378,67486,70428
72281,68720,69887
75186,68866,66309
73985,67363,67470
76527,69718,66383
72213,75398,65203
76447,67659,69476
77668,70559,67896
74912,69892,64733
76119,72260,65906
78576,73849,66854
77744,71696,66204
78906,72337,64389
79440,75606,66365
76523,65986,69103
78859,73676,66658
77492,71585,70837
79754,74580,64893
77184,70792,66443
80037,73129,71564
77385,67840,66637
74659,70907,67054
75545,71180,67944
74198,72498,68406
76150,68769,66202
75089,73661,65216
78354,73954,67732
71288,70870,66563
79449,75540,70445
75399,69761,69267
79101,72480,68903
80427,75161,70148
78378,72717,68441
75744,73685,66383
74890,71600,67594
78468,72181,67938
77924,74368,70393
76787,71266,69232
78632,70657,66056
78480,71531,66681
77261,73907,68999
79160,77318,69096
79759,73002,66171
79429,69819,69169
79989,73118,68378
78329,72546,68971
81971,72205,70559
80537,71066,69203
82793,72000,67305
82270,69563,68168
83602,71960,70917
85698,72787,69391
83280,73876,69442
83980,72163,68845
84165,72914,70596
81493,70395,68541
82298,73092,65305
90523,72784,67670
84438,71157,70192
83811,69483,68995
81821,73008,67998
81724,72842,68146
85655,75734,69733
86285,69836,69319
85347,72773,69673
86029,73796,67705
86771,69878,66467
85307,71238,68964
83470,73222,68720
88306,72067,66910
85819,70255,65978
85788,76201,70509
86534,73102,68326
85454,71971,67906
83464,74945,69484
84653,76528,67537
84352,70653,66018
80697,72070,68549
80922,68602,68085
80205,71057,69428
85179,68369,66602
81254,72539,68676
78918,69372,68674
85776,71992,68757
85522,71895,68272
86342,73186,69511
83040,70834,68130
84520,72929,69063
82234,73036,67597
82319,71940,69781
81779,73091,66399
84679,70419,67513
84824,72919,66408
85950,71647,66980
87294,70499,69632
83191,75622,68883
83216,75351,65233
88256,73453,67806
85584,72966,65173
84507,70848,67114
85888,71614,65883
87160,72452,66387
86554,68112,68686
87019,71029,66058
87305,74043,69583
86671,68740,68563
87880,71842,66693
84042,71999,68107
91097,74392,68076
87098,71806,66549
85998,75484,67001
88170,73191,67199
85429,71673,68405
85663,73125,66588
85578,72661,67089
82659,73357,66764
82049,72922,66291
79989,72931,67541
82124,73691,66656
80270,73140,69843
81864,74868,66016
82026,76043,67277
82963,72275,64825
85765,72225,66920
80590,71592,69650
83880,73609,69652
87793,72312,69375
85690,74757,63356
88633,71753,65191
87116,72042,69317
