ID        132  POPULATION         35  CENTER       1441
ID        133  POPULATION         35  CENTER      19955
ID        134  POPULATION         35  CENTER      24203
ID        135  POPULATION         35  CENTER      26049
ID        136  POPULATION         34  CENTER       1362
ID        137  POPULATION         34  CENTER      11488
ID        138  POPULATION         33  CENTER       6957
ID        139  POPULATION         33  CENTER      16919
ID        140  POPULATION         31  CENTER        924
ID        141  POPULATION         31  CENTER       1321
ID        142  POPULATION         31  CENTER      26567
ID        143  POPULATION         30  CENTER       1252
ID        144  POPULATION         30  CENTER      46267
ID        145  POPULATION         29  CENTER      17431
ID        146  POPULATION         29  CENTER      47405
ID        147  POPULATION         28  CENTER       2127
ID        148  POPULATION         28  CENTER      60726
ID        149  POPULATION         27  CENTER      39415
ID        150  POPULATION         27  CENTER      39715
ID        151  POPULATION         26  CENTER      63159
ID        152  POPULATION         25  CENTER      47690
ID        153  POPULATION         25  CENTER      48155
ID        154  POPULATION         25  CENTER      51271
ID        155  POPULATION         24  CENTER       6260
ID        156  POPULATION         24  CENTER       6728
ID        157  POPULATION         24  CENTER      14281
ID        158  POPULATION         24  CENTER      24522
ID        159  POPULATION         24  CENTER      52446
ID        160  POPULATION         24  CENTER      69274
ID        161  POPULATION         23  CENTER      24025
ID        162  POPULATION         22  CENTER       2374
ID        163  POPULATION         22  CENTER      41250
ID        164  POPULATION         21  CENTER       7055
ID        165  POPULATION         21  CENTER      24112
ID        166  POPULATION         21  CENTER      51991
ID        167  POPULATION         20  CENTER      14634
ID        168  POPULATION         19  CENTER       2951
ID        169  POPULATION         19  CENTER      12306
ID        170  POPULATION         19  CENTER      15108
ID        171  POPULATION         19  CENTER      18554
ID        172  POPULATION         19  CENTER      65052
ID        173  POPULATION         19  CENTER      68505
ID        174  POPULATION         18  CENTER      11894
ID        175  POPULATION         18  CENTER      12270
ID        176  POPULATION         18  CENTER      19404
ID        177  POPULATION         18  CENTER      35694
ID        178  POPULATION         18  CENTER      48514
ID        179  POPULATION         18  CENTER      58563
ID        180  POPULATION         17  CENTER      11886
ID        181  POPULATION         17  CENTER      15426
ID        182  POPULATION         17  CENTER      16997
ID        183  POPULATION         17  CENTER      19849
ID        184  POPULATION         17  CENTER      31508
ID        185  POPULATION         16  CENTER      10959
ID        186  POPULATION         16  CENTER      14178
ID        187  POPULATION         16  CENTER      28687
ID        188  POPULATION         16  CENTER      38738
ID        189  POPULATION         16  CENTER      53059
ID        190  POPULATION         15  CENTER       3133
ID        191  POPULATION         15  CENTER       3362
ID        192  POPULATION         15  CENTER       7784
ID        193  POPULATION         15  CENTER      13252
ID        194  POPULATION         15  CENTER      20595
ID        195  POPULATION         15  CENTER      22936
ID        196  POPULATION         15  CENTER      45769
ID        197  POPULATION         14  CENTER       2451
ID        198  POPULATION         14  CENTER      25487
ID        199  POPULATION         14  CENTER      26506
ID        200  POPULATION         13  CENTER       7874
ID        201  POPULATION         13  CENTER      19254
ID        202  POPULATION         13  CENTER      32169
ID        203  POPULATION         13  CENTER      34909
ID        204  POPULATION         13  CENTER      35476
ID        205  POPULATION         13  CENTER      48490
ID        206  POPULATION         12  CENTER       1623
ID        207  POPULATION         12  CENTER      12713
ID        208  POPULATION         12  CENTER      18025
ID        209  POPULATION         12  CENTER      18918
ID        210  POPULATION         12  CENTER      22867
ID        211  POPULATION         12  CENTER      26481
ID        212  POPULATION         12  CENTER      38974
ID        213  POPULATION         12  CENTER      62663
