Wavelength (nm),0 mins ,4 mins ,8 mins,12 mins ,16 mins ,20 mins ,24 mins ,28 mins ,32 mins ,36 mins ,40 mins ,44 mins ,48 mins ,52 mins ,56 mins 
290,184.6854858,192.0992584,191.19664,194.1984253,194.3173523,195.9416199,195.2823029,193.7068176,188.8291321,196.6818085,195.9390411,193.9646759,191.7171936,192.6295471,193.0868988
290.9299927,198.7811737,204.7980652,208.6405487,208.5688324,205.77771,202.0174561,204.6018829,207.3794403,205.6610413,203.2151642,206.4611816,208.6887665,203.3931732,209.8061218,203.4423676
292.0299988,216.5598297,222.5261993,226.6347504,226.5341339,226.4206848,224.982605,219.7740631,219.4024811,224.6591034,225.7514496,224.1920319,224.6002655,228.0090485,224.6416168,220.6604462
292.9599915,238.5085297,245.5258331,244.4488068,241.6958313,246.6579285,241.9415741,244.2660522,241.3249359,245.4322052,240.4282532,242.1963196,241.5766144,246.8837585,246.1293488,240.9809418
294.0599976,254.7388,267.8520203,264.5354309,266.3001709,267.1601257,263.2072449,261.9347534,258.7393799,261.4414978,261.8902893,267.2830505,264.9580994,261.4608765,263.5471191,264.7378235
295,269.2547607,283.7036438,283.1177673,282.2151489,278.2966919,281.1257324,274.9067993,278.1784363,283.916626,280.8945007,278.3706665,278.7134705,280.8612976,276.1495667,279.6496582
295.9299927,295.2251892,301.6001282,301.4081421,296.0909119,302.5410767,306.0602112,292.5155945,296.3632813,298.9470825,297.487854,299.54953,299.3807983,300.0395813,302.3304749,294.4858704
297.0299988,313.0507202,321.6099854,320.0240784,313.8427124,317.991333,319.9306946,308.8890076,321.4982605,325.0306396,321.7289124,322.7476807,320.4158936,324.1333618,320.833313,304.4216919
297.9599915,327.1549072,334.2755432,340.7496643,323.9044189,333.8521423,328.8794861,330.8750916,331.5229797,335.647644,335.7537842,339.64505,335.9951477,338.5889282,333.7445679,325.480072
299.0599976,345.0438843,351.8288269,352.7595215,345.0152588,357.5827332,354.7287598,344.0585327,356.3359985,350.6213989,352.3913269,353.8021545,356.5000305,355.6911621,351.8852539,344.5760193
300,351.8771667,365.3912354,367.6554871,367.0075378,358.9949951,368.6736755,360.3692932,368.292511,363.0581055,360.7276917,365.4610291,362.7089539,367.1218872,365.5983582,368.7176819
301.0700073,370.4250488,380.5813599,376.5178833,378.9867249,375.2022705,382.7955017,369.3190613,382.1161194,377.3448792,376.4984741,379.4708862,376.4056091,381.0959778,375.2202148,374.2014771
302,372.7797241,379.8501892,384.7839661,386.8485107,385.6322327,388.26651,381.0758362,390.5192261,386.7105103,385.539093,385.7579346,389.3135681,384.6319275,384.434845,381.6319885
303.0700073,385.381897,393.1905823,393.3311768,398.3871765,392.2753296,397.2771912,396.5592346,395.88974,396.304657,387.3236694,392.129364,400.5554199,390.265564,398.443573,391.1454773
304,380.9378967,397.8311768,392.6349792,400.7352905,397.4699402,390.5852966,395.4000244,403.6652222,396.6289673,401.0862427,404.6546326,404.9809875,396.0526733,391.4203491,395.823822
305.0700073,384.3386536,401.0741272,397.3861694,401.7528076,398.0543213,401.4921875,409.3464966,393.8947754,400.9887695,403.0800476,399.569397,396.5707092,399.6436157,399.0805969,399.334198
306,381.7268372,388.3555298,399.1095581,393.6787109,393.1941223,394.1673889,397.381134,396.5871277,391.710907,403.1885071,395.4484253,395.8692017,390.2529602,396.5227356,392.0171814
307.0700073,375.3214722,389.7553101,389.3021545,382.4474792,392.2840576,381.0042419,387.2782288,391.366272,391.7181091,386.9310608,389.4524536,386.3612671,386.9194336,389.543335,390.993988
308,371.2896729,377.3183289,386.8313293,388.0732117,380.9649963,377.8787842,379.1409302,379.7484131,379.2602539,378.5655518,381.8068237,379.8134155,381.6651001,376.1054688,380.1163025
309.0700073,360.3808899,367.1053162,369.4381714,366.9230957,363.0610352,371.8756104,368.5883179,370.1122437,368.0900574,362.6482849,367.2512512,361.86026,366.3260498,369.458313,369.3499756
