Wavelength (nm),0 mins ,4 mins ,8 mins,12 mins ,16 mins ,20 mins ,24 mins ,28 mins ,32 mins ,36 mins ,40 mins ,44 mins ,48 mins ,52 mins ,56 mins 
310,347.1924744,361.0026855,357.3700562,359.8042297,358.1272583,356.6468811,362.4830322,357.538208,364.28479,356.8284607,357.272583,360.9790649,361.7488098,365.236908,354.1625061
310.9299927,339.1543579,349.5760193,348.968811,343.3875122,351.8398438,350.4476624,344.2327271,346.4812012,348.4115295,347.9934692,344.5906677,348.4847412,346.0106201,343.1255493,353.5218201
312.0299988,321.4821472,331.8268738,333.0967407,331.0354614,332.7583008,332.7332764,336.5406799,339.253479,337.5674438,332.2920837,335.1105957,335.711792,330.9326477,334.5263062,328.06073
312.9599915,316.7305908,319.8035583,321.4519958,324.4945374,320.2439575,322.8753967,324.359436,324.4844971,319.2662354,325.9825134,325.1576233,324.4164429,327.5840149,316.9296875,319.4353943
314.0599976,306.0960693,309.8173828,315.0332031,308.2613831,314.3419189,305.8774414,305.8913574,313.7340698,303.6460266,313.8905945,307.6583862,303.8496094,306.6229248,314.0255127,303.4361267
315,296.4688416,294.6622009,299.3460693,304.9084473,299.5256958,298.7736511,304.6507263,295.769104,303.3512878,304.1408997,297.9068909,300.1333923,302.1353149,297.9403381,299.9865417
315.9299927,281.796936,290.1536865,292.460144,288.9910278,285.4480286,291.4889832,287.4160461,287.8566895,290.4491577,286.7737732,287.1620483,289.9125061,288.7754517,290.3649902,288.1646423
317.0299988,269.8823547,279.0281067,274.7347412,272.896698,278.0257874,276.3441467,279.1894531,275.1716614,274.6511841,281.2230225,281.9019775,276.4795532,274.0456543,274.4970703,277.6416016
317.9599915,260.9417419,266.6246033,268.4381104,264.4134521,264.8553467,267.8613892,262.0800781,264.7635193,262.3699646,272.678772,265.4064331,270.2680359,265.6078491,266.2479858,262.5283813
319.0599976,249.9908142,254.3345947,256.9876099,259.0209351,255.804245,255.6218872,256.4743958,260.2827148,253.1665192,256.6489563,255.8547211,254.1448822,256.8684998,260.5343323,254.4558411
320,229.9515686,238.5091858,238.8365936,230.0108948,232.0268707,236.3547211,239.3571014,232.5825806,226.2823639,231.4171906,234.4503326,238.4271393,231.6421967,240.4812317,240.4261475
