OD_1,OD_2
0.014,0.014
0.014,0.018
0.024,0.021
0.021,0.019
0.019,0.037
0.056,0.066
0.099,0.122
0.188,0.256
0.321,0.443
0.62,0.767
1.042,1.26
1.425,1.55
1.64,1.699
1.72,1.74
1.754,1.773
1.794,1.825
1.823,1.83
