1Abetaalone.txt: column 1 X	1Abetaalone.txt: column 1 Y	15Abetaalone.txt: column 1 X	15Abetaalone.txt: column 1 Y	2Abetaalone.txt: column 1 X	2Abetaalone.txt: column 1 Y
289.0	19813.7460314	289.0	61137.5714286	289.0	98582.5
292.0	22886.0793614	292.0	59883.0714286	292.0	99427.5
295.0	23389.4127014	295.0	63686.0714286	295.0	99638.5
298.0	23827.4127014	298.0	62900.0714286	298.0	99100.5
302.0	28608.7460314	302.0	62992.5714286	302.0	96702.0
305.0	27282.4127014	305.0	61506.5714286	305.0	102516.5
308.0	29972.4127014	308.0	64591.0714286	308.0	101736.5
312.0	26844.4127014	312.0	63592.0714286	312.0	100727.0
315.0	28404.4127014	315.0	64722.0714286	315.0	98945.0
318.0	29900.0793614	318.0	64809.5714286	318.0	99448.5
322.0	33434.0793614	322.0	65271.5714286	322.0	101299.5
325.0	34779.7460314	325.0	62850.0714286	325.0	101307.0
328.0	31585.0793614	328.0	65925.0714286	328.0	102637.0
332.0	28884.0793614	332.0	66762.5714286	332.0	101243.5
335.0	31038.4127014	335.0	65296.0714286	335.0	103572.5
338.0	31614.7460314	338.0	67791.5714286	338.0	105513.5
342.0	32124.4127014	342.0	66202.5714286	342.0	104180.0
345.0	32957.7460314	345.0	66697.0714286	345.0	102160.0
348.0	31205.0793614	348.0	66751.5714286	348.0	100720.5
352.0	35008.7460314	352.0	65547.5714286	352.0	105980.5
355.0	36003.7460314	355.0	66715.5714286	355.0	103123.0
358.0	33509.0793614	358.0	65752.0714286	358.0	104693.0
362.0	37746.4127014	362.0	65462.0714286	362.0	107204.5
365.0	36073.7460314	365.0	65759.0714286	365.0	109467.0
368.0	33620.0793614	368.0	68221.5714286	368.0	106590.0
371.0	34207.7460314	371.0	68287.0714286	371.0	104918.0
375.0	39374.7460314	375.0	66507.0714286	375.0	105702.5
378.0	39520.7460314	378.0	67537.5714286	378.0	106492.0
381.0	38967.0793614	381.0	66138.5714286	381.0	104237.5
385.0	38614.7460314	385.0	68168.0714286	385.0	106605.5
388.0	40081.7460314	388.0	66392.0714286	388.0	105655.0
391.0	40574.4127014	391.0	65913.0714286	391.0	106767.5
395.0	40007.7460314	395.0	70904.0714286	395.0	101106.5
398.0	44483.0793614	398.0	70549.5714286	398.0	105843.0
401.0	40642.0793614	401.0	68328.5714286	401.0	105819.5
405.0	41838.7460314	405.0	68612.5714286	405.0	99648.5
408.0	45474.0793614	408.0	66776.5714286	408.0	106710.0
411.0	44466.0793614	411.0	66970.5714286	411.0	106450.5
415.0	45438.7460314	415.0	68190.0714286	415.0	106917.0
418.0	46776.7460314	418.0	69868.5714286	418.0	103351.0
421.0	47423.7460314	421.0	69821.0714286	421.0	102480.0
425.0	46469.7460314	425.0	65581.5714286	425.0	103064.0
428.0	46347.7460314	428.0	68902.5714286	428.0	105191.5
431.0	47310.0793614	431.0	68833.5714286	431.0	107161.0
434.0	47912.7460314	434.0	70744.5714286	434.0	106268.0
438.0	46827.7460314	438.0	70212.5714286	438.0	102804.0
441.0	45847.4127014	441.0	68931.5714286	441.0	106326.5
444.0	44978.4127014	444.0	72693.5714286	444.0	106332.0
448.0	49412.7460314	448.0	69559.0714286	448.0	107343.0
451.0	45837.0793614	451.0	71186.0714286	451.0	112970.5
454.0	46253.4127014	454.0	71740.5714286	454.0	114130.0
458.0	48579.4127014	458.0	70405.0714286	458.0	108049.0
461.0	51193.0793614	461.0	71166.0714286	461.0	111171.5
464.0	48702.4127014	464.0	70677.5714286	464.0	108012.0
468.0	49545.0793614	468.0	70198.5714286	468.0	104971.0
471.0	49836.4127014	471.0	70636.5714286	471.0	107346.5
474.0	48623.4127014	474.0	69982.5714286	474.0	102146.0
478.0	50399.4127014	478.0	69666.0714286	478.0	108354.0
481.0	51041.7460314	481.0	72930.5714286	481.0	107826.5
484.0	48345.4127014	484.0	71316.0714286	484.0	111806.0
488.0	48599.0793614	488.0	71436.0714286	488.0	105927.5
491.0	48486.4127014	491.0	71721.5714286	491.0	109224.0
494.0	48885.0793614	494.0	75009.0714286	494.0	108398.0
497.0	49083.7460314	497.0	72679.5714286	497.0	107542.5
501.0	48908.0793614	501.0	73753.5714286	501.0	103198.0
504.0	48393.7460314	504.0	72741.5714286	504.0	109411.5
507.0	49663.7460314	507.0	73645.0714286	507.0	103386.0
511.0	49725.7460314	511.0	73469.5714286	511.0	100143.5
514.0	49981.7460314	514.0	73496.5714286	514.0	109631.5
517.0	50828.7460314	517.0	72173.0714286	517.0	112708.5
521.0	48633.4127014	521.0	72796.5714286	521.0	109950.0
524.0	50216.0793614	524.0	72159.0714286	524.0	101759.5
527.0	51880.7460314	527.0	71492.5714286	527.0	107408.5
531.0	50669.0793614	531.0	72090.0714286	531.0	101487.0
534.0	50665.0793614	534.0	70434.0714286	534.0	102975.5
537.0	52591.4127014	537.0	74103.5714286	537.0	106992.5
541.0	49325.0793614	541.0	72166.5714286	541.0	107968.5
544.0	51852.0793614	544.0	74600.0714286	544.0	106646.0
547.0	52092.4127014	547.0	73071.5714286	547.0	108868.5
551.0	51863.4127014	551.0	71288.5714286	551.0	110055.5
554.0	50260.7460314	554.0	73666.0714286	554.0	111071.5
557.0	53697.7460314	557.0	72594.5714286	557.0	108748.0
561.0	49408.4127014	561.0	73617.5714286	561.0	111322.0
564.0	49661.0793614	564.0	71438.5714286	564.0	106795.0
567.0	50344.0793614	567.0	74538.0714286	567.0	106654.0
570.0	50488.4127014	570.0	73612.0714286	570.0	112383.0
