111.txt: 24072 X	111.txt: 24072 Y	1AB_1D.txt: column 1 X	1AB_1D.txt: column 1 Y	1AB_2D.txt: column 1 X	1AB_2D.txt: column 1 Y	1AB_6D.txt: column 1 X	1AB_6D.txt: column 1 Y	1AB_10D.txt: column 1 X	1AB_10D.txt: column 1 Y	1AB_15D.txt: column 1 X	1AB_15D.txt: column 1 Y	1AB_20D.txt: column 1 X	1AB_20D.txt: column 1 Y
584.0	48426.2941206	580.0	35072.9259289	580.0	28574.0707042	580.0	23072.4305583	580.0	15769.6028343	580.0	12531.869922	580.0	4531.96666667
587.0	53997.2941206	584.0	35201.5925889	584.0	29273.0707042	584.0	26596.7638883	584.0	17062.6028343	584.0	13500.869922	584.0	4482.46666667
590.0	50328.2941206	587.0	35050.5925889	587.0	29980.7373742	587.0	23833.0972183	587.0	16610.9361743	587.0	12122.536582	587.0	4030.96666667
594.0	52347.2941206	590.0	34619.2592589	590.0	28918.4040442	590.0	24565.7638883	590.0	15209.9361743	590.0	12376.536582	590.0	4720.96666667
597.0	54097.9607806	594.0	34323.9259289	594.0	28928.7373742	594.0	23558.4305583	594.0	16398.9361743	594.0	12977.869922	594.0	4284.46666667
600.0	52031.2941206	597.0	34766.2592589	597.0	29477.4040442	597.0	24053.4305583	597.0	16364.6028343	597.0	12449.203252	597.0	4457.96666667
604.0	50789.9607806	600.0	35401.5925889	600.0	28940.7373742	600.0	23370.7638883	600.0	16200.9361743	600.0	12104.203252	600.0	4129.46666667
607.0	50213.9607806	604.0	35210.5925889	604.0	29102.0707042	604.0	24460.0972183	604.0	17410.2695043	604.0	12979.869922	604.0	5123.46666667
610.0	51714.9607806	607.0	34225.5925889	607.0	28336.7373742	607.0	24714.7638883	607.0	16567.6028343	607.0	13005.203252	607.0	4939.46666667
614.0	53080.9607806	610.0	34413.2592589	610.0	29826.0707042	610.0	23421.0972183	610.0	17444.2695043	610.0	12660.869922	610.0	4836.46666667
617.0	51280.9607806	614.0	34242.2592589	614.0	29077.0707042	614.0	23987.4305583	614.0	16192.2695043	614.0	14055.536582	614.0	5578.96666667
620.0	50634.2941206	617.0	35137.2592589	617.0	28530.4040442	617.0	25323.4305583	617.0	16708.9361743	617.0	12632.536582	617.0	4289.46666667
624.0	51083.2941206	620.0	34019.5925889	620.0	28756.0707042	620.0	24385.0972183	620.0	15980.6028343	620.0	13403.536582	620.0	5598.96666667
627.0	52241.6274506	624.0	35059.2592589	624.0	29678.7373742	624.0	24684.7638883	624.0	18050.9361743	624.0	13724.869922	624.0	5185.46666667
630.0	54043.9607806	627.0	36208.5925889	627.0	30226.0707042	627.0	24964.4305583	627.0	17774.9361743	627.0	13031.869922	627.0	5441.46666667
633.0	51829.9607806	630.0	35221.2592589	630.0	29429.4040442	630.0	24269.0972183	630.0	17488.2695043	630.0	13676.203252	630.0	5964.96666667
637.0	51658.2941206	633.0	35677.5925889	633.0	29447.0707042	633.0	25322.7638883	633.0	17826.6028343	633.0	13922.536582	633.0	5485.96666667
640.0	52680.9607806	637.0	34620.2592589	637.0	29529.4040442	637.0	24247.7638883	637.0	16978.2695043	637.0	14120.536582	637.0	5509.96666667
643.0	52134.6274506	640.0	36909.2592589	640.0	29483.0707042	640.0	24453.0972183	640.0	17924.6028343	640.0	14362.536582	640.0	5879.46666667
647.0	53764.2941206	643.0	34896.2592589	643.0	29845.0707042	643.0	25853.0972183	643.0	18893.6028343	643.0	14267.203252	643.0	5955.46666667
650.0	52454.6274506	647.0	35174.9259289	647.0	29568.7373742	647.0	24566.7638883	647.0	17378.9361743	647.0	13740.869922	647.0	5534.96666667
653.0	52885.2941206	650.0	34497.2592589	650.0	29570.0707042	650.0	25307.4305583	650.0	18618.6028343	650.0	13450.536582	650.0	5906.96666667
657.0	52186.2941206	653.0	36098.9259289	653.0	30665.7373742	653.0	25507.4305583	653.0	17457.9361743	653.0	14667.203252	653.0	6279.46666667
660.0	54345.6274506	657.0	34919.9259289	657.0	29547.4040442	657.0	25588.7638883	657.0	17822.9361743	657.0	15216.869922	657.0	6281.96666667
663.0	54811.2941206	660.0	35879.2592589	660.0	28746.4040442	660.0	26040.0972183	660.0	18737.2695043	660.0	15237.869922	660.0	6392.96666667
667.0	54385.2941206	663.0	36344.9259289	663.0	29348.7373742	663.0	25995.0972183	663.0	17982.6028343	663.0	14195.869922	663.0	6414.96666667
670.0	53848.6274506	667.0	36021.9259289	667.0	29273.0707042	667.0	26103.7638883	667.0	17784.2695043	667.0	14863.203252	667.0	6971.46666667
673.0	54744.2941206	670.0	35784.2592589	670.0	29020.0707042	670.0	24658.4305583	670.0	18468.9361743	670.0	14085.869922	670.0	6884.46666667
677.0	52328.9607806	673.0	36370.5925889	673.0	29979.0707042	673.0	25345.7638883	673.0	18082.6028343	673.0	15060.536582	673.0	8066.96666667
680.0	52417.6274506	677.0	35271.9259289	677.0	31094.0707042	677.0	25499.4305583	677.0	18266.2695043	677.0	14741.203252	677.0	7852.46666667
683.0	55844.9607806	680.0	35398.5925889	680.0	30639.4040442	680.0	26249.4305583	680.0	17955.6028343	680.0	14255.203252	680.0	6672.46666667
687.0	54114.9607806	683.0	36112.5925889	683.0	31101.4040442	683.0	25769.0972183	683.0	18132.9361743	683.0	15086.536582	683.0	7641.96666667
690.0	52948.9607806	687.0	33898.2592589	687.0	28896.0707042	687.0	25515.0972183	687.0	17908.2695043	687.0	14028.203252	687.0	7527.96666667
693.0	53128.2941206	690.0	36124.2592589	690.0	30047.7373742	690.0	25071.0972183	690.0	18633.9361743	690.0	14487.869922	690.0	7334.46666667
696.0	53089.9607806	693.0	36005.2592589	693.0	29662.0707042	693.0	26590.0972183	693.0	18341.6028343	693.0	14669.203252	693.0	7621.96666667
700.0	55893.2941206	696.0	35823.2592589	696.0	29918.4040442	696.0	25480.7638883	696.0	18859.6028343	696.0	16060.536582	696.0	8231.96666667
703.0	53999.2941206	700.0	36502.2592589	700.0	30426.7373742	700.0	26418.0972183	700.0	18353.6028343	700.0	15047.869922	700.0	8326.96666667
706.0	54783.6274506	703.0	36355.9259289	703.0	31640.4040442	703.0	26000.7638883	703.0	18711.9361743	703.0	15109.869922	703.0	8308.46666667
710.0	54695.9607806	706.0	36561.2592589	706.0	30042.7373742	706.0	26210.7638883	706.0	18211.6028343	706.0	14920.203252	706.0	8025.96666667
713.0	53224.6274506	710.0	36565.9259289	710.0	29799.4040442	710.0	26254.4305583	710.0	18027.6028343	710.0	15309.203252	710.0	7784.96666667
716.0	54022.2941206	713.0	36820.2592589	713.0	30427.7373742	713.0	27328.4305583	713.0	18632.2695043	713.0	15919.203252	713.0	8488.96666667
720.0	53989.9607806	716.0	36417.2592589	716.0	30483.7373742	716.0	26826.7638883	716.0	18494.6028343	716.0	14875.869922	716.0	7558.46666667
723.0	54613.6274506	720.0	36181.5925889	720.0	29918.4040442	720.0	25412.4305583	720.0	19459.6028343	720.0	15175.536582	720.0	8703.46666667
726.0	52869.9607806	723.0	35629.9259289	723.0	29128.0707042	723.0	25920.0972183	723.0	18908.2695043	723.0	15487.536582	723.0	7989.96666667
730.0	56351.9607806	726.0	37545.2592589	726.0	29486.0707042	726.0	25364.7638883	726.0	19201.6028343	726.0	15817.869922	726.0	8308.46666667
733.0	54839.9607806	730.0	35739.2592589	730.0	30760.7373742	730.0	26357.4305583	730.0	18738.6028343	730.0	14681.536582	730.0	8423.46666667
736.0	53962.9607806	733.0	37539.5925889	733.0	29705.4040442	733.0	27103.0972183	733.0	19069.9361743	733.0	15354.536582	733.0	9163.46666667
740.0	54816.9607806	736.0	34472.2592589	736.0	30510.0707042	736.0	26532.0972183	736.0	18034.9361743	736.0	15545.869922	736.0	8382.96666667
743.0	55091.9607806	740.0	36809.9259289	740.0	29997.7373742	740.0	26793.0972183	740.0	19662.6028343	740.0	14849.536582	740.0	8942.96666667
746.0	52526.9607806	743.0	37166.5925889	743.0	29754.4040442	743.0	26606.7638883	743.0	19274.9361743	743.0	15021.869922	743.0	9784.46666667
750.0	52624.6274506	746.0	36571.5925889	746.0	31944.4040442	746.0	26504.7638883	746.0	17995.6028343	746.0	15850.203252	746.0	9026.96666667
753.0	51388.9607806	750.0	37865.5925889	750.0	29254.7373742	750.0	27511.4305583	750.0	18718.6028343	750.0	15702.869922	750.0	9992.46666667
756.0	52415.9607806	753.0	36390.9259289	753.0	30374.0707042	753.0	26479.4305583	753.0	19235.2695043	753.0	15405.536582	753.0	9276.96666667
760.0	52235.9607806	756.0	37381.9259289	756.0	30977.0707042	756.0	25925.0972183	756.0	18817.2695043	756.0	15233.536582	756.0	9619.46666667
763.0	53008.9607806	760.0	37615.9259289	760.0	30318.4040442	760.0	25544.7638883	760.0	19127.2695043	760.0	14975.203252	760.0	10173.4666667
766.0	51173.9607806	763.0	36391.2592589	763.0	31032.7373742	763.0	25934.7638883	763.0	19290.2695043	763.0	15805.203252	763.0	9507.46666667
769.0	54360.9607806	766.0	35929.2592589	766.0	29956.0707042	766.0	27267.7638883	766.0	18885.6028343	766.0	15830.203252	766.0	9941.96666667
773.0	54082.2941206	769.0	37732.5925889	769.0	30779.0707042	769.0	27196.4305583	769.0	19768.6028343	769.0	15742.869922	769.0	9211.46666667
776.0	55198.9607806	773.0	35788.9259289	773.0	29380.7373742	773.0	27513.7638883	773.0	19071.2695043	773.0	15651.203252	773.0	10033.9666667
779.0	52853.9607806	776.0	37268.9259289	776.0	29335.4040442	776.0	27077.7638883	776.0	18532.6028343	776.0	16375.869922	776.0	10425.9666667
783.0	54356.6274506	779.0	37073.9259289	779.0	30068.4040442	779.0	26681.7638883	779.0	17783.2695043	779.0	15178.869922	779.0	9786.46666667
786.0	53141.6274506	783.0	37215.5925889	783.0	29742.0707042	783.0	27189.7638883	783.0	19573.6028343	783.0	15257.869922	783.0	10952.9666667
789.0	53532.6274506	786.0	36570.9259289	786.0	30597.0707042	786.0	26831.7638883	786.0	19061.2695043	786.0	16488.536582	786.0	11252.9666667
793.0	52608.9607806	789.0	38533.5925889	789.0	30254.4040442	789.0	26572.0972183	789.0	19205.9361743	789.0	16782.869922	789.0	9277.46666667
796.0	53056.2941206	793.0	37053.5925889	793.0	30530.4040442	793.0	27015.7638883	793.0	18882.6028343	793.0	15342.203252	793.0	10317.9666667
799.0	53569.6274506	796.0	37440.9259289	796.0	29916.4040442	796.0	26850.0972183	796.0	17883.9361743	796.0	16073.203252	796.0	10208.9666667
803.0	53711.6274506	799.0	37929.2592589	799.0	30333.7373742	799.0	27645.0972183	799.0	18611.2695043	799.0	16073.203252	799.0	11028.9666667
806.0	54660.9607806	803.0	35573.5925889	803.0	31561.7373742	803.0	26321.7638883	803.0	18090.2695043	803.0	15652.869922	803.0	10255.4666667
809.0	54751.2941206	806.0	35780.9259289	806.0	31170.0707042	806.0	25418.4305583	806.0	18069.6028343	806.0	15906.203252	806.0	10887.4666667
813.0	53452.6274506	809.0	35338.9259289	809.0	30198.7373742	809.0	27629.7638883	809.0	19211.2695043	809.0	16283.869922	809.0	9743.46666667
816.0	55357.6274506	813.0	36811.2592589	813.0	30151.4040442	813.0	25939.4305583	813.0	17938.6028343	813.0	15980.536582	813.0	9776.46666667
819.0	53426.9607806	816.0	37151.5925889	816.0	29642.7373742	816.0	27653.4305583	816.0	19694.2695043	816.0	16778.536582	816.0	10232.9666667
823.0	53008.9607806	819.0	36481.2592589	819.0	29313.0707042	819.0	26213.7638883	819.0	19726.6028343	819.0	16849.869922	819.0	9641.96666667
826.0	53314.2941206	823.0	36578.2592589	823.0	29495.0707042	823.0	27464.0972183	823.0	18693.6028343	823.0	16471.869922	823.0	10647.9666667
829.0	54185.6274506	826.0	35668.9259289	826.0	30843.7373742	826.0	26756.0972183	826.0	19132.6028343	826.0	16472.536582	826.0	10647.9666667
832.0	53303.2941206	829.0	35697.9259289	829.0	30454.0707042	829.0	27234.7638883	829.0	19786.6028343	829.0	15949.536582	829.0	11275.9666667
836.0	53554.6274506	832.0	35269.2592589	832.0	28982.4040442	832.0	26063.7638883	832.0	19011.9361743	832.0	15897.203252	832.0	9803.96666667
839.0	55829.6274506	836.0	37420.2592589	836.0	30078.4040442	836.0	26867.4305583	836.0	19470.9361743	836.0	16831.869922	836.0	11364.9666667
842.0	53510.6274506	839.0	36321.5925889	839.0	30140.7373742	839.0	28066.4305583	839.0	20128.6028343	839.0	15397.536582	839.0	11110.4666667
846.0	54324.2941206	842.0	38090.5925889	842.0	30216.7373742	842.0	28084.0972183	842.0	19155.6028343	842.0	16280.536582	842.0	10838.4666667
849.0	53568.6274506	846.0	37082.9259289	846.0	31296.7373742	846.0	27073.7638883	846.0	18671.2695043	846.0	15895.536582	846.0	9787.96666667
852.0	56707.6274506	849.0	36106.9259289	849.0	30691.0707042	849.0	26578.4305583	849.0	19215.2695043	849.0	15852.869922	849.0	10681.4666667
856.0	54003.6274506	852.0	37180.5925889	852.0	31347.7373742	852.0	27751.4305583	852.0	19211.6028343	852.0	16569.536582	852.0	11201.4666667
859.0	55013.6274506	856.0	36802.5925889	856.0	30757.7373742	856.0	27314.7638883	856.0	19137.6028343	856.0	16696.536582	856.0	12128.4666667
862.0	55039.2941206	859.0	36047.9259289	859.0	30837.0707042	859.0	27389.7638883	859.0	19039.9361743	859.0	15889.536582	859.0	10901.4666667
866.0	54021.6274506	862.0	37541.5925889	862.0	30583.7373742	862.0	27125.4305583	862.0	18811.2695043	862.0	15605.536582	862.0	10455.4666667
869.0	53977.9607806	866.0	37766.2592589	866.0	30504.0707042	866.0	26117.7638883	866.0	18173.9361743	866.0	16727.536582	866.0	11532.9666667
872.0	53961.9607806	869.0	36927.2592589	869.0	30299.0707042	869.0	26646.0972183	869.0	18378.2695043	869.0	15706.869922	869.0	11173.9666667
876.0	53112.6274506	872.0	37487.9259289	872.0	29886.4040442	872.0	26985.7638883	872.0	18088.6028343	872.0	16615.203252	872.0	10496.9666667
879.0	52606.6274506	876.0	37085.9259289	876.0	30152.0707042	876.0	26618.4305583	876.0	19407.9361743	876.0	15976.869922	876.0	11314.4666667
882.0	52339.6274506	879.0	37836.2592589	879.0	30814.4040442	879.0	27142.7638883	879.0	19159.6028343	879.0	16915.536582	879.0	11279.4666667
886.0	53009.6274506	882.0	37958.5925889	882.0	30269.4040442	882.0	27174.4305583	882.0	19847.9361743	882.0	16400.536582	882.0	10453.9666667
889.0	53270.2941206	886.0	37352.5925889	886.0	30002.4040442	886.0	27932.7638883	886.0	20465.9361743	886.0	15813.869922	886.0	11739.9666667
892.0	53101.9607806	889.0	36127.2592589	889.0	30269.4040442	889.0	27197.4305583	889.0	18984.9361743	889.0	16957.869922	889.0	10963.9666667
896.0	53967.9607806	892.0	37014.5925889	892.0	30348.0707042	892.0	27245.0972183	892.0	20650.2695043	892.0	16269.869922	892.0	10797.4666667
899.0	52206.9607806	896.0	37782.2592589	896.0	30166.7373742	896.0	26978.0972183	896.0	19401.9361743	896.0	15939.536582	896.0	10766.4666667
902.0	53822.6274506	899.0	36286.5925889	899.0	29865.0707042	899.0	26461.4305583	899.0	19386.9361743	899.0	16375.536582	899.0	10162.9666667
905.0	52796.6274506	902.0	37343.2592589	902.0	30217.0707042	902.0	27491.0972183	902.0	19245.2695043	902.0	16091.203252	902.0	11632.9666667
909.0	54566.2941206	905.0	36580.9259289	905.0	30663.7373742	905.0	26937.7638883	905.0	19052.9361743	905.0	16313.203252	905.0	10601.9666667
912.0	55345.9607806	909.0	35963.5925889	909.0	29345.7373742	909.0	26861.0972183	909.0	19629.9361743	909.0	17419.869922	909.0	10612.4666667
915.0	53453.6274506	912.0	36907.5925889	912.0	31936.7373742	912.0	27469.0972183	912.0	18531.9361743	912.0	16711.203252	912.0	11981.9666667
919.0	54044.9607806	915.0	36346.9259289	915.0	30200.7373742	915.0	27695.0972183	915.0	19642.6028343	915.0	16106.869922	915.0	11068.4666667
922.0	55010.9607806	919.0	36340.2592589	919.0	29787.4040442	919.0	27690.7638883	919.0	18702.6028343	919.0	15363.869922	919.0	11689.9666667
		922.0	36157.2592589	922.0	30726.7373742	922.0	26426.4305583	922.0	19959.6028343	922.0	16523.536582	922.0	11656.9666667
