Abeta40-10drug.txt: column 1 X	Abeta40-10drug.txt: column 1 Y
0.0	-0.0140912509149
6.0	-0.0199146760379
12.0	-0.0490318016526
18.0	-0.00244440066894
24.0	0.00337902445404
30.0	-0.0140912509149
36.0	-0.0140912509149
42.0	-0.0199146760379
48.0	-0.00826782579191
54.0	0.0150258747
60.0	-0.00826782579191
66.0	-0.0140912509149
72.0	0.038319575192
78.0	-0.00244440066894
84.0	0.032496150069
90.0	0.00337902445404
96.0	0.020849299823
102.0	-0.0140912509149
108.0	0.0150258747
114.0	-0.0140912509149
120.0	-0.0373849514066
126.0	0.00337902445404
132.0	0.0150258747
138.0	-0.00244440066894
144.0	0.020849299823
150.0	-0.0140912509149
156.0	0.020849299823
162.0	0.020849299823
168.0	-0.00826782579191
174.0	-0.00244440066894
180.0	-0.00244440066894
186.0	-0.00244440066894
192.0	0.020849299823
198.0	0.038319575192
204.0	0.0150258747
210.0	0.0616132756839
216.0	-0.00826782579191
222.0	-0.00244440066894
228.0	-0.00244440066894
234.0	0.038319575192
240.0	0.00337902445404
246.0	0.020849299823
252.0	0.0150258747
258.0	0.00920244957701
264.0	0.038319575192
270.0	-0.00244440066894
276.0	-0.00244440066894
282.0	-0.0199146760379
288.0	0.0266727249461
294.0	-0.00244440066894
300.0	0.00337902445404
306.0	0.0266727249461
312.0	0.020849299823
318.0	-0.0140912509149
324.0	-0.0199146760379
330.0	-0.00826782579191
336.0	0.00920244957701
342.0	-0.0140912509149
348.0	-0.0257381011607
354.0	-0.0257381011607
360.0	0.00920244957701
366.0	0.00337902445404
372.0	-0.0257381011607
378.0	-0.00244440066894
384.0	-0.0548552267756
390.0	0.00337902445404
396.0	-0.0432083765296
402.0	-0.0199146760379
408.0	0.00920244957701
414.0	0.038319575192
420.0	-0.0315615262837
426.0	-0.0140912509149
432.0	0.020849299823
438.0	0.038319575192
444.0	0.00337902445404
450.0	-0.00244440066894
456.0	0.00920244957701
462.0	0.00337902445404
468.0	-0.0665020770215
474.0	-0.00826782579191
480.0	-0.0140912509149
486.0	-0.0140912509149
492.0	-0.0257381011607
498.0	-0.0490318016526
504.0	-0.0490318016526
510.0	-0.00826782579191
516.0	-0.0839723523904
522.0	-0.0315615262837
528.0	-0.0373849514066
534.0	-0.0315615262837
540.0	-0.0140912509149
546.0	-0.0548552267756
552.0	-0.0432083765296
558.0	-0.0199146760379
564.0	-0.0257381011607
570.0	-0.0432083765296
576.0	-0.0199146760379
582.0	-0.0315615262837
588.0	-0.0490318016526
594.0	-0.0140912509149
600.0	-0.0606786518985
606.0	-0.0373849514066
612.0	-0.0315615262837
618.0	-0.0257381011607
624.0	-0.0373849514066
630.0	-0.0606786518985
636.0	-0.0490318016526
642.0	-0.0257381011607
648.0	-0.00826782579191
654.0	-0.0432083765296
660.0	-0.0199146760379
666.0	-0.0432083765296
672.0	-0.0140912509149
678.0	-0.0432083765296
684.0	-0.0315615262837
690.0	-0.0199146760379
696.0	-0.0315615262837
702.0	-0.0373849514066
708.0	-0.0432083765296
714.0	-0.00826782579191
720.0	-0.0257381011607
726.0	-0.0140912509149
732.0	-0.0315615262837
738.0	-0.0257381011607
744.0	-0.0373849514066
750.0	-0.0315615262837
756.0	0.00920244957701
762.0	-0.0490318016526
768.0	-0.0490318016526
774.0	-0.0140912509149
780.0	-0.0199146760379
786.0	-0.0140912509149
792.0	-0.00244440066894
798.0	-0.0315615262837
804.0	-0.0140912509149
810.0	0.00337902445404
816.0	-0.0432083765296
822.0	-0.0373849514066
828.0	-0.0140912509149
834.0	-0.0373849514066
840.0	-0.0315615262837
846.0	-0.0432083765296
