1AB. 2D X	1AB. 2D Y
0.0	0.0943189339805
3.0	0.0651621279352
7.0	0.0301607526149
10.0	0.0372710947868
13.0	0.0284767241796
17.0	0.011427311893
20.0	-0.00356384319705
23.0	-0.00489565642465
27.0	-0.0102339166072
30.0	0.006397240141
33.0	-0.0093203585878
36.0	-0.011664790331
40.0	0.00524153435212
43.0	-0.00261726501226
46.0	-0.00373995063576
50.0	-0.0212296316843
53.0	-0.0169810369598
56.0	0.00101495318137
60.0	-0.0129085500043
63.0	-0.0204371477147
66.0	-0.00473055559766
70.0	-0.0337332674277
73.0	0.0168756391835
76.0	-0.0335131332119
80.0	-0.0162766068748
83.0	-0.00270531889672
86.0	-0.00359686336245
90.0	-0.0295727265877
93.0	-0.00835176717956
96.0	-0.00567713378243
100.0	-0.00817565941064
103.0	-0.0196666769687
106.0	-0.012754455789
109.0	-0.030431250888
113.0	-0.0379158218213
116.0	-0.0403262938953
119.0	-0.0142183496782
123.0	-0.00650263791735
126.0	-0.0264027907096
129.0	0.00191750425881
133.0	-0.0228476197887
136.0	-0.0212076181306
139.0	-0.0176524468795
143.0	-0.0279657454252
146.0	-0.0239482918585
149.0	-0.00671176552146
153.0	-0.0109823734694
156.0	-0.00933136519953
159.0	0.000343543261701
163.0	-0.0220551358192
166.0	-0.033942395362
169.0	-0.0291434644375
172.0	-0.0178725814255
176.0	-0.0201399662262
179.0	-0.0449271034972
182.0	-0.0213176852385
186.0	0.0109540229657
189.0	-0.0105200911538
192.0	-0.0145925784395
196.0	-0.00577619427862
199.0	-0.0155611698478
202.0	-0.00657968485987
206.0	-0.0334470928811
209.0	-0.018830166222
212.0	-0.0218790280502
216.0	-0.00366290369324
219.0	-0.0266229252556
222.0	0.0169746996797
226.0	-0.030431250888
229.0	0.0172938947219
232.0	-0.00104330368496
235.0	0.0130342933857
239.0	-0.0241574194626
242.0	0.0110310699083
245.0	0.021883697712
249.0	0.0106128147
252.0	0.0143771135553
255.0	0.0194622190263
259.0	0.0437980809236
262.0	0.0444584842315
265.0	0.0514807725191
269.0	0.0460214386169
272.0	0.03337471527
275.0	0.0665599814936
279.0	0.0459223781207
282.0	0.0935264500109
285.0	0.125831178381
289.0	0.102232766734
292.0	0.111049150895
295.0	0.104456124757
298.0	0.160590405932
302.0	0.119931575386
305.0	0.155164091865
308.0	0.19503043844
312.0	0.198024266549
315.0	0.189108821892
318.0	0.199179972338
322.0	0.25676714079
325.0	0.223504827624
328.0	0.283480454596
332.0	0.304294165738
335.0	0.315675115858
338.0	0.314662497672
342.0	0.36012025848
345.0	0.340671381062
348.0	0.363840530558
352.0	0.41224809303
355.0	0.429946901682
358.0	0.471398215867
362.0	0.452499674648
365.0	0.444112552637
368.0	0.476890570265
371.0	0.518782153211
375.0	0.554542992336
378.0	0.580342748452
381.0	0.519563630569
385.0	0.543525264035
388.0	0.585670001693
391.0	0.640483476251
395.0	0.59489363445
398.0	0.628078900674
401.0	0.667240816834
405.0	0.666327259145
408.0	0.671511425112
411.0	0.65895275532
415.0	0.686799761691
418.0	0.711135623588
421.0	0.741459142034
425.0	0.732114435227
428.0	0.751662373142
431.0	0.752697004881
434.0	0.782283073076
438.0	0.804076382238
441.0	0.772685211888
444.0	0.781974884976
448.0	0.766411380462
451.0	0.78261327473
454.0	0.795997448658
458.0	0.827091437519
461.0	0.826012779003
464.0	0.825847678176
468.0	0.850920990324
471.0	0.840233463347
474.0	0.873132555024
478.0	0.904105470166
481.0	0.855312672322
484.0	0.841444202855
488.0	0.875102758006
491.0	0.847035617419
494.0	0.906548962406
497.0	0.901717011316
501.0	0.881805851582
504.0	0.864349191029
507.0	0.865603957314
511.0	0.91881045038
514.0	0.924467905274
517.0	0.876236450572
521.0	0.940130470614
524.0	0.890776329958
527.0	0.947306853117
531.0	0.937125635563
534.0	0.848378437588
537.0	0.921903339315
541.0	0.947086718571
544.0	0.950190614118
547.0	0.960019616795
551.0	0.921958372704
554.0	0.973018555349
557.0	0.96189075961
561.0	0.918579309222
564.0	0.90161795082
567.0	0.928903614379
570.0	0.94408188352
574.0	0.966997878305
577.0	0.955198672647
580.0	0.943520540708
584.0	0.96660163632
587.0	0.989968906809
590.0	0.954890484546
594.0	0.955231692812
597.0	0.973348757003
600.0	0.955627934797
604.0	0.960955188037
607.0	0.935683754897
610.0	0.984861787785
614.0	0.960129683902
617.0	0.942078660372
620.0	0.94953021081
624.0	0.979996816859
627.0	0.998069853943
630.0	0.971763789064
633.0	0.972347145099
637.0	0.975065805604
640.0	0.973535871053
643.0	0.985489170927
647.0	0.976364598666
650.0	0.976408625443
653.0	1.01258772011
657.0	0.975660168581
660.0	0.949211016098
663.0	0.969100162279
667.0	0.96660163632
670.0	0.958247534475
673.0	0.98991387309
677.0	1.02673135751
680.0	1.01171818919
683.0	1.02697350561
687.0	0.954153033966
690.0	0.992181257891
693.0	0.979446480659
696.0	0.987910649943
700.0	1.00469590058
703.0	1.04477137476
706.0	0.992016157064
710.0	0.983981250261
713.0	1.00472892074
716.0	1.00657805
720.0	0.987910649943
723.0	0.961813712338
726.0	0.97363493155
730.0	1.01572463582
733.0	0.980877354713
736.0	1.00744758092
740.0	0.990530249621
743.0	0.982495342818
746.0	1.05480950504
750.0	0.965996266731
753.0	1.00295683842
756.0	1.02286799816
760.0	1.0011187161
763.0	1.02470612081
766.0	0.989154409286
769.0	1.01633000541
773.0	0.970156807571
776.0	0.968659893517
779.0	0.992863674752
783.0	0.982088093891
786.0	1.01032033531
789.0	0.999005425516
793.0	1.00811899117
796.0	0.987844609612
799.0	1.00162502519
803.0	1.0421737883
806.0	1.02924089008
809.0	0.997167302866
813.0	0.99560434848
816.0	0.978808090905
819.0	0.967922442936
823.0	0.973932113038
826.0	1.01846530955
829.0	1.00559845165
832.0	0.957003775132
836.0	0.993193876406
839.0	0.995252133273
842.0	0.997761665843
846.0	1.03342344447
849.0	1.01342423085
852.0	1.03510747291
856.0	1.01562557532
859.0	1.018245175
862.0	1.00988006654
866.0	1.00724945992
869.0	1.00048032602
872.0	0.98685400465
876.0	0.995626361704
879.0	1.01749671814
882.0	0.999500727997
886.0	0.990684343836
889.0	0.999500727997
892.0	1.00209831412
896.0	0.996110657573
899.0	0.986149574235
902.0	0.997772672455
905.0	1.01252167978
909.0	0.969001101782
912.0	1.05455635033
915.0	0.997233343197
919.0	0.983585008276
922.0	1.0146019502
