---------------------------------
    Results for GMC_10075_G5_5uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
118    71.018277    3.430341    0.033210    0.008772    1133    all
119    18.199609    2.361863    0.020023    0.008228    482    all
120    35.770235    2.446498    0.011690    0.004356    1128    all
121    28.504233    2.848738    0.019751    0.008712    1049    all
122    20.365535    1.344944    0.004207    0.009075    1102    all
123    26.892950    2.886014    0.015332    0.008107    1149    all
124    25.531915    2.663558    0.001343    0.009075    329    all
125    44.505495    2.825243    0.012230    0.005808    856    all
126    30.548303    2.797630    0.000494    0.005566    1150    all
127    16.996403    1.933498    0.012837    0.008228    1113    all
128    55.533199    2.448746    0.027697    0.006534    494    all
129    27.207637    1.176003    0.012207    0.004719    393    all
130    52.552553    3.918689    0.021111    0.009559    987    all
131    23.376623    2.667804    0.011174    0.005082    228    all
132    31.793478    0.350206    0.000757    0.008349    733    all
133    18.276762    2.370339    0.010178    0.011737    1136    all
134    52.173913    1.650652    0.019400    0.008349    350    all
135    19.321149    1.423123    0.003644    0.008349    1147    all
136    36.031332    3.359597    0.018310    0.005566    1149    all
137    73.750000    2.837574    0.029874    0.003751    713    all
138    35.509138    2.321187    0.016213    0.009680    1148    all
139    4.177546    0.486138    0.000373    0.005324    1110    all
140    42.510121    1.106795    0.020093    0.005687    247    all
141    57.883817    1.967001    0.017560    0.006050    472    all
142    33.720930    3.475795    0.022029    0.007381    248    all
143    19.321149    0.404398    0.004022    0.007744    1150    all
144    10.714286    1.873224    0.004784    0.007986    308    all
145    57.142857    3.660647    0.026475    0.009680    379    all
146    24.511545    2.794476    0.016747    0.007623    1114    all
147    57.220708    0.222796    0.006668    0.004719    366    all
148    28.981723    1.009037    0.019849    0.012221    381    all
149    36.746988    1.359459    0.000413    0.005445    405    all
150    20.383275    2.212502    0.001224    0.007260    1048    all
151    34.982332    1.824441    0.008643    0.006655    284    all
152    41.295547    2.510040    0.017211    0.007260    247    all
153    38.228155    1.300266    0.017667    0.010164    813    all
154    24.096386    2.816854    0.008454    0.007260    393    all
155    22.189349    2.101099    0.001059    0.007018    327    all
156    38.956311    2.483501    0.013079    0.008470    806    all
157    18.595041    2.025879    0.006105    0.008712    230    all
158    36.000000    0.987015    0.024314    0.007865    271    all
159    6.504065    3.008565    0.000439    0.011555    244    all
160    58.333333    2.239151    0.037789    0.008712    320    all
161    40.369393    3.284559    0.016131    0.004719    380    all
162    54.308094    2.763212    0.011649    0.006776    1150    all
163    68.181818    2.239684    0.032142    0.003872    418    all
164    22.976501    2.781324    0.004860    0.007865    1078    all
165    8.606557    3.445845    0.001975    0.006897    245    all
166    34.567901    1.825612    0.014313    0.007381    202    all
167    46.987952    2.677202    0.030646    0.007986    239    all
168    29.299363    1.665189    0.014263    0.007018    410    all
169    12.543554    2.534853    0.006189    0.004114    281    all
170    43.209877    2.887905    0.021899    0.007623    239    all
