---------------------------------
    Results for GMC_10074_G5_1uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
0    15.985790    3.085538    0.001136    0.006413    549    all
1    44.386423    2.279632    0.021269    0.008349    1146    all
2    11.904762    0.726398    0.003344    0.005142    365    all
3    24.383164    2.372097    0.008278    0.004598    615    all
4    17.493473    4.239258    0.008196    0.008228    1149    all
5    5.744125    3.165501    0.003509    0.008833    1150    all
6    19.753086    3.225504    0.007906    0.007018    228    all
7    38.046647    2.605912    0.012737    0.007865    672    all
8    25.587467    2.790399    0.014745    0.011011    1150    all
9    38.630137    0.506154    0.011749    0.011374    354    all
10    19.911504    3.151690    0.007049    0.006776    222    all
11    50.246305    1.991096    0.026453    0.008228    388    all
12    28.779070    3.790057    0.018001    0.008228    336    all
13    26.507277    2.555676    0.016092    0.006534    961    all
14    35.426429    0.373407    0.017341    0.007139    1064    all
15    34.103020    2.902164    0.008093    0.012342    1104    all
16    39.688716    3.638718    0.031478    0.005687    206    all
17    52.678571    2.411136    0.029575    0.009075    1009    all
18    16.449086    1.114226    0.007154    0.006292    1147    all
19    19.060052    3.682897    0.014959    0.008470    1147    all
20    65.796345    1.750142    0.036698    0.003146    1139    all
21    18.537859    2.906125    0.001061    0.009438    1149    all
22    50.211864    3.564451    0.018189    0.007381    454    all
23    39.307229    3.433943    0.027174    0.005929    647    all
24    27.704485    2.368790    0.011234    0.008591    371    all
25    32.558140    2.126296    0.018938    0.006957    514    all
26    26.804124    1.465822    0.017717    0.007744    582    all
27    53.602305    1.533867    0.026862    0.003630    331    all
28    34.969325    3.492923    0.030086    0.009317    306    all
29    34.765235    2.260807    0.015120    0.007260    989    all
30    15.404700    3.444461    0.015158    0.008591    1138    all
31    38.642298    1.625353    0.010646    0.011132    1150    all
32    6.914894    0.734839    0.009178    0.007986    509    all
33    27.649770    1.791363    0.019350    0.003388    652    all
34    21.428571    3.025690    0.022268    0.003509    546    all
35    27.937337    3.041424    0.016171    0.008228    1127    all
36    20.365535    3.323444    0.014375    0.004477    384    all
37    1.044386    2.863662    0.000976    0.009680    1144    all
38    32.375979    2.431695    0.016718    0.003872    1150    all
39    54.225352    3.628169    0.022140    0.006413    421    all
40    42.118227    3.796978    0.029331    0.009559    382    all
41    30.548303    3.411768    0.016036    0.004840    1150    all
42    48.930481    2.110033    0.021965    0.007744    747    all
43    6.527415    3.004184    0.001652    0.009559    1149    all
44    15.517241    1.390072    0.005645    0.005687    382    all
45    48.302872    3.819849    0.018031    0.003267    1145    all
46    18.025751    3.799317    0.005192    0.008591    684    all
47    18.396226    1.504257    0.006392    0.006413    634    all
48    0.000000    3.037839    0.001113    0.005808    664    all
49    37.336815    2.519253    0.014320    0.005929    1111    all
50    28.977273    2.163092    0.013108    0.009801    880    all
51    0.000000    1.701384    0.000195    0.008591    1150    all
52    20.365535    0.075281    0.007193    0.007986    1146    all
53    33.243243    3.499680    0.011225    0.008470    732    all
54    42.903930    2.712334    0.014413    0.006897    909    all
55    45.023697    2.535689    0.010732    0.007683    629    all
56    22.459893    2.325258    0.009912    0.008954    748    all
57    46.276596    2.650603    0.025082    0.007018    376    all
58    38.750000    2.485259    0.047379    0.007744    461    all
59    9.399478    2.012167    0.000332    0.007865    1147    all
60    4.177546    1.274794    0.000463    0.007562    1150    all
61    35.135135    2.958090    0.001251    0.008954    608    all
62    28.528975    3.486846    0.008877    0.008833    663    all
63    19.277108    0.607011    0.005650    0.006897    495    all
64    20.887728    4.000366    0.011290    0.008954    1147    all
65    0.000000    2.249728    0.000365    0.005929    1150    all
66    1.044386    0.755866    0.001083    0.008349    1124    all
67    36.448598    1.822255    0.012682    0.007986    214    all
68    32.307692    1.671408    0.007542    0.004840    512    all
69    29.923274    3.677396    0.013139    0.007986    386    all
70    21.671018    3.212818    0.011991    0.009317    1149    all
71    1.554404    1.772696    0.000374    0.007744    250    all
72    30.662983    1.951699    0.010322    0.008107    1056    all
73    1.566580    0.669070    0.000930    0.010043    1069    all
74    33.185841    3.263307    0.030331    0.008470    211    all
75    29.333333    3.247821    0.029107    0.005324    215    all
76    0.000000    2.961550    0.000416    0.004356    998    all
77    7.310705    2.773871    0.003631    0.004114    1098    all
78    19.594595    3.206407    0.004138    0.008470    444    all
79    28.235294    3.257473    0.003410    0.008228    569    all
80    6.916427    2.535216    0.008145    0.007260    286    all
81    40.425532    2.588234    0.026674    0.010769    280    all
82    13.815789    2.529427    0.001113    0.010769    447    all
83    28.272251    3.635609    0.012436    0.007623    758    all
84    40.208877    0.928891    0.017058    0.007260    1149    all
85    21.351025    3.227982    0.026497    0.004719    823    all
86    10.047847    2.546678    0.001746    0.006655    205    all
87    28.459530    1.493886    0.018117    0.010164    1141    all
88    31.738035    2.418180    0.019974    0.007502    398    all
89    33.681462    2.608293    0.025185    0.008349    1143    all
90    12.816456    2.033782    0.005048    0.005808    633    all
91    0.000000    3.246301    0.000976    0.003811    1150    all
92    0.000000    2.432290    0.000321    0.009317    1150    all
93    24.020888    2.979185    0.000414    0.007623    1148    all
94    38.003839    4.053009    0.021041    0.005808    522    all
95    7.500000    2.053942    0.004069    0.009075    1079    all
96    17.061611    3.513733    0.001237    0.010285    634    all
97    32.876712    3.065470    0.013886    0.008712    282    all
98    15.665796    2.433862    0.005746    0.005203    1149    all
99    23.076923    2.824695    0.019255    0.007865    260    all
100    12.101911    0.716737    0.009248    0.009317    467    all
101    18.276762    3.353186    0.008835    0.006050    985    all
102    28.099174    3.382957    0.012919    0.005929    706    all
103    42.014742    3.167155    0.012163    0.005445    386    all
104    15.897436    3.934089    0.016805    0.012584    556    all
105    1.305483    1.596641    0.001143    0.010164    1133    all
106    1.827676    4.217450    0.000640    0.005808    1136    all
107    49.191686    3.429951    0.031023    0.010406    857    all
108    40.000000    2.596764    0.021918    0.007381    522    all
109    35.294118    3.197176    0.017331    0.008228    842    all
110    33.939394    0.455877    0.002596    0.006534    879    all
111    29.503916    3.507674    0.002975    0.008288    1147    all
112    45.255474    1.089288    0.016324    0.003630    408    all
113    27.586207    2.202230    0.018625    0.008349    518    all
114    0.000000    3.600212    0.001525    0.007018    1150    all
115    20.000000    3.815737    0.002137    0.007502    293    all
116    16.971279    1.638847    0.009465    0.008833    1150    all
117    50.865052    2.087500    0.023577    0.006413    289    all
118    24.281984    3.620909    0.014107    0.004598    1107    all
119    23.498695    3.448684    0.008591    0.010285    1128    all
120    25.198098    3.402038    0.022738    0.009680    621    all
121    45.418327    3.247402    0.017745    0.009801    240    all
122    4.979253    2.482837    0.001088    0.006655    629    all
123    31.902985    2.940062    0.009829    0.010285    523    all
124    53.785901    3.086599    0.027836    0.006897    1149    all
125    37.258510    1.621613    0.020569    0.009438    1084    all
126    38.271605    1.306848    0.016427    0.005263    230    all
127    32.890365    1.262371    0.016831    0.008470    596    all
128    9.825328    2.319829    0.000421    0.008591    241    all
129    28.720627    1.789891    0.009370    0.004356    1148    all
130    30.809399    3.632987    0.016961    0.003388    1113    all
131    32.242991    1.684367    0.004466    0.005203    208    all
132    7.310705    4.180200    0.000540    0.010527    962    all
133    30.434783    1.431689    0.013598    0.005808    553    all
134    0.000000    2.368224    0.000353    0.003388    304    all
135    10.963455    3.071088    0.000682    0.007623    596    all
136    43.080940    3.571356    0.029606    0.003872    1123    all
137    2.610966    2.442539    0.001956    0.004235    1150    all
138    46.308725    0.292994    0.015160    0.008228    445    all
139    40.677966    0.213755    0.013361    0.004840    355    all
