---------------------------------
    Results for N2_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
118    18.666667    1.010277    0.009326    0.005687    206    all
119    7.049608    1.852590    0.000511    0.010285    1150    all
120    52.219321    0.592597    0.023731    0.008712    1144    all
121    26.630435    2.207385    0.021496    0.005687    548    all
122    49.455677    2.398934    0.025507    0.003993    642    all
123    37.859008    3.394143    0.021671    0.005384    1147    all
124    26.966292    1.544605    0.010120    0.007018    799    all
125    54.569191    1.888631    0.016460    0.003751    1146    all
126    13.577023    0.295752    0.005296    0.012100    1147    all
127    27.395716    3.092050    0.007299    0.006413    874    all
128    39.164491    1.705113    0.018878    0.008833    1148    all
129    42.281879    2.437010    0.038688    0.008833    1040    all
130    10.000000    2.037188    0.002533    0.011918    420    all
131    28.202765    0.936762    0.011962    0.009680    1084    all
132    27.906977    0.997853    0.012732    0.005324    254    all
133    18.886199    1.845366    0.008635    0.007502    408    all
134    8.093995    0.103556    0.003008    0.007623    1141    all
135    30.652174    1.172811    0.016198    0.006776    459    all
136    40.469974    0.013094    0.019122    0.004356    1126    all
137    44.800000    3.230880    0.021353    0.007502    370    all
138    35.248042    3.029954    0.027532    0.007018    1147    all
139    24.281984    3.344653    0.009128    0.007139    1148    all
140    25.714286    3.087700    0.020176    0.009680    621    all
141    1.566580    3.505864    0.002726    0.009075    1150    all
142    64.918970    2.287551    0.040839    0.006776    1041    all
143    35.248042    1.298199    0.028293    0.009196    1149    all
144    36.317781    4.646493    0.014257    0.011616    790    all
145    44.341801    4.125333    0.011124    0.011253    424    all
146    5.113636    2.042341    0.001499    0.009075    526    all
147    8.750000    3.126641    0.003711    0.004961    474    all
148    16.971279    1.143353    0.013322    0.010648    1150    all
149    13.054830    1.653791    0.007305    0.007865    1143    all
150    17.493473    1.897566    0.002974    0.010890    1147    all
151    33.420366    3.332022    0.022903    0.009317    1134    all
152    52.741514    2.869232    0.015722    0.010527    1150    all
153    20.401046    1.127969    0.004629    0.005324    1046    all
154    45.232816    1.369671    0.028784    0.006897    452    all
155    16.971279    3.473571    0.002111    0.011132    1150    all
156    29.032258    1.294592    0.015728    0.005445    1115    all
157    30.324910    4.479496    0.010269    0.004114    832    all
158    30.000000    1.039477    0.014107    0.007502    629    all
159    41.733871    2.005533    0.028024    0.009317    495    all
160    48.825065    2.172848    0.026866    0.009075    1143    all
161    28.448276    2.675138    0.028293    0.009438    225    all
162    62.162162    2.595785    0.036306    0.008833    223    all
163    30.287206    2.112902    0.008485    0.004598    1147    all
164    30.769231    2.030828    0.027011    0.008833    1124    all
165    40.731070    2.230516    0.028170    0.010648    1150    all
166    25.459689    1.699410    0.008073    0.005021    675    all
167    34.203655    2.827886    0.011188    0.010164    1149    all
168    22.715405    1.739759    0.026681    0.004114    1144    all
169    0.000000    1.906235    0.000349    0.011374    1150    all
170    37.696335    1.744715    0.027402    0.009317    565    all
171    43.438914    2.113700    0.022184    0.006050    222    all
172    30.681818    1.337190    0.010700    0.011374    522    all
173    27.415144    2.075080    0.012003    0.004598    1135    all
174    33.681462    1.675333    0.023186    0.010890    1150    all
175    34.146341    2.364075    0.011903    0.008470    428    all
176    27.676240    2.564816    0.016248    0.008107    1147    all
177    20.918367    1.458237    0.012863    0.008712    543    all
178    52.941176    2.448598    0.022262    0.004356    314    all
179    23.759791    3.496021    0.008040    0.010648    1140    all
180    11.743772    0.643172    0.004856    0.011616    223    all
181    32.656827    0.169758    0.042430    0.005021    542    all
182    30.501931    2.499383    0.009743    0.004961    763    all
183    14.099217    0.145242    0.003963    0.008107    967    all
184    2.610966    2.082834    0.002896    0.005929    1150    all
185    34.464752    1.542503    0.025942    0.011979    1145    all
186    14.882507    1.701369    0.006743    0.007623    1149    all
187    30.693069    2.054464    0.012759    0.006171    894    all
188    37.075718    0.113691    0.020317    0.010890    1141    all
189    45.953003    3.117855    0.020125    0.008107    1142    all
190    35.380835    1.896166    0.015232    0.008470    397    all
191    23.693380    1.284925    0.021166    0.010527    862    all
192    24.110672    2.503039    0.015280    0.009801    758    all
193    58.224543    3.565116    0.037592    0.010648    1148    all
194    22.193211    1.408871    0.009435    0.005687    1147    all
195    19.692308    3.852490    0.005843    0.010527    973    all
196    37.974684    0.908666    0.025715    0.006897    237    all
197    58.959538    2.050091    0.036942    0.004598    512    all
198    31.279621    1.696047    0.014751    0.009559    418    all
199    13.327526    2.169695    0.002143    0.006897    1099    all
200    28.720627    3.811811    0.014982    0.010648    1145    all
201    3.884892    1.253041    0.000357    0.007018    691    all
202    20.104439    2.660067    0.017468    0.009801    1097    all
203    17.465753    3.287533    0.004600    0.007986    271    all
204    21.793417    3.582634    0.009834    0.012100    881    all
205    10.331633    1.301132    0.003034    0.006413    780    all
206    13.315927    2.069494    0.001058    0.010769    1145    all
207    48.825065    1.609077    0.024429    0.008228    1148    all
208    23.498695    2.365639    0.000534    0.005808    1149    all
209    27.187500    2.216093    0.000623    0.008349    637    all
210    25.587467    2.983867    0.003942    0.005203    1150    all
211    43.434343    2.408038    0.030261    0.008712    283    all
212    24.558140    2.359897    0.008217    0.003872    1071    all
213    9.138381    3.799048    0.001074    0.010406    1150    all
214    46.315789    1.474940    0.032028    0.007260    254    all
215    21.910112    3.343128    0.019348    0.010285    357    all
216    36.057692    4.048142    0.016536    0.008833    209    all
217    4.177546    3.048202    0.000687    0.010043    1126    all
218    13.577023    3.134722    0.002530    0.009075    1149    all
219    4.972376    2.022794    0.004385    0.010043    536    all
220    25.326371    0.410752    0.008041    0.007744    1148    all
221    47.698745    1.289018    0.033396    0.008107    479    all
222    22.193211    1.712029    0.012574    0.007623    1147    all
223    17.232376    2.859359    0.002564    0.003751    1092    all
224    36.117936    2.676549    0.014703    0.009075    407    all
225    16.089385    3.160639    0.006327    0.008228    896    all
226    60.313316    2.654748    0.017231    0.005203    1149    all
227    0.000000    2.695636    0.034062    0.008712    326    all
228    3.133159    2.280765    0.005285    0.010285    1150    all
229    20.264901    1.644331    0.011989    0.006413    754    all
230    35.904255    1.787405    0.014693    0.007623    1111    all
231    1.827676    3.665245    0.000882    0.009075    1150    all
232    32.592593    3.339426    0.014263    0.007381    405    all
233    1.522843    3.426721    0.001261    0.006655    388    all
234    65.028902    1.215687    0.028463    0.006171    346    all
235    43.864230    1.725670    0.012534    0.006413    1150    all
236    1.408451    3.483763    0.001329    0.006655    380    all
237    50.279330    2.061084    0.028871    0.009922    895    all
238    29.503916    2.484771    0.014310    0.008591    1150    all
239    21.649485    3.422272    0.006135    0.009438    230    all
240    0.000000    1.917753    0.000300    0.009680    1150    all
241    15.143603    1.016948    0.001348    0.007623    1146    all
242    20.887728    3.839845    0.009236    0.005203    1150    all
243    72.558140    1.884424    0.041585    0.007260    1071    all
244    23.232323    2.731424    0.007758    0.008470    283    all
245    5.483029    1.450619    0.000363    0.011616    1150    all
246    12.793734    1.166461    0.000252    0.004840    1150    all
247    19.843342    3.570585    0.011258    0.007986    1150    all
248    13.838120    4.848966    0.007331    0.008833    1146    all
249    51.780822    1.922609    0.022652    0.010164    361    all
250    41.704036    1.894538    0.023399    0.007683    209    all
251    15.926893    0.367165    0.004246    0.007744    1140    all
252    33.030647    1.962079    0.020975    0.003509    855    all
253    45.953003    0.703149    0.019409    0.010164    1148    all
254    42.537313    2.313290    0.014594    0.003872    256    all
255    7.531381    2.005620    0.000376    0.011374    399    all
256    46.887417    2.217523    0.014749    0.011858    730    all
257    35.135135    0.995452    0.022789    0.009922    763    all
258    33.027523    1.265298    0.011934    0.007139    200    all
259    32.192846    3.187474    0.019706    0.006776    638    all
260    31.987076    3.889301    0.013031    0.010527    614    all
261    30.182927    3.278164    0.014009    0.006292    309    all
262    19.247788    3.036156    0.005189    0.003751    427    all
263    3.400174    2.769089    0.002897    0.011616    963    all
264    37.880496    3.595943    0.011960    0.004961    887    all
265    1.302460    2.267092    0.000657    0.006292    521    all
266    36.638831    1.944446    0.021891    0.009438    950    all
267    26.126126    2.544793    0.013199    0.010406    326    all
268    14.754098    1.922702    0.003838    0.010648    599    all
269    24.645892    2.056963    0.013242    0.007139    348    all
270    78.160920    0.793045    0.046527    0.009438    262    all
271    15.000000    0.760810    0.001348    0.010043    328    all
272    28.871681    3.225408    0.032409    0.004114    892    all
273    48.616601    2.649623    0.027982    0.005324    241    all
274    28.708134    3.066839    0.003483    0.010769    204    all
275    29.302326    3.613364    0.008218    0.006171    205    all
276    48.071217    0.341107    0.035626    0.007865    326    all
277    27.988338    2.644459    0.017048    0.010406    338    all
278    26.603774    2.970897    0.010034    0.003993    519    all
279    40.021345    1.828033    0.024009    0.003872    929    all
280    26.865672    0.813060    0.016804    0.004477    862    all
281    76.442308    3.412504    0.029049    0.009075    202    all
282    17.529215    3.200934    0.016591    0.010285    576    all
283    66.393443    0.761622    0.022522    0.004598    229    all
284    37.019231    3.393467    0.018955    0.003267    619    all
285    58.895706    0.978998    0.022739    0.006171    490    all
286    7.317073    2.409675    0.004757    0.007502    304    all
287    25.449871    1.274439    0.010887    0.007018    385    all
288    15.606936    1.156200    0.009487    0.009559    836    all
289    32.883642    2.105451    0.023547    0.006776    584    all
290    42.331288    1.314286    0.030363    0.010527    327    all
291    16.009281    2.066404    0.002175    0.007260    844    all
292    37.065637    2.280407    0.023228    0.010406    752    all
293    44.594595    4.468172    0.028990    0.008409    592    all
294    27.863777    1.963829    0.001084    0.008712    209    all
295    73.891626    3.629177    0.048451    0.008591    202    all
296    1.875000    2.366468    0.001331    0.009075    313    all
297    50.865052    2.055950    0.040068    0.004961    577    all
298    26.267281    3.312073    0.017825    0.009559    648    all
299    35.944700    0.349391    0.016561    0.006655    645    all
300    42.857143    2.080305    0.011014    0.011253    206    all
301    42.016057    2.021438    0.017642    0.008591    1119    all
302    57.877814    1.191477    0.026261    0.008107    301    all
303    39.329268    0.957206    0.023812    0.004719    326    all
304    39.445438    3.764285    0.014924    0.009438    1117    all
305    16.254417    1.526091    0.007581    0.008833    679    all
306    40.963855    2.733244    0.019949    0.010648    250    all
307    18.719212    1.534431    0.005127    0.007502    568    all
308    22.529644    1.164394    0.014361    0.007986    990    all
309    6.797583    2.846610    0.010607    0.010285    663    all
310    5.863192    1.324252    0.053264    0.007623    270    all
311    48.859935    0.894276    0.022457    0.006897    270    all
312    43.283582    2.997240    0.006274    0.006292    383    all
313    13.313609    3.397251    0.032015    0.009317    332    all
314    40.594059    2.905415    0.027876    0.005082    302    all
315    7.920792    0.429517    0.001103    0.010406    300    all
316    48.870392    4.210100    0.016757    0.010285    834    all
317    53.864447    2.215530    0.025969    0.004961    825    all
318    27.804878    3.348211    0.015107    0.010648    204    all
319    35.117057    3.320668    0.031299    0.004598    296    all
320    9.424084    2.706628    0.001704    0.008470    426    all
321    42.592593    1.723606    0.025976    0.007260    636    all
322    9.722222    2.670165    0.024148    0.010285    214    all
323    62.992126    2.568853    0.032052    0.005566    377    all
324    27.197802    3.962507    0.017817    0.008470    343    all
325    35.119048    2.364312    0.030511    0.003267    446    all
326    41.603053    1.691266    0.024454    0.009680    774    all
327    33.566434    1.707609    0.015591    0.008470    425    all
328    0.000000    3.071453    0.000782    0.010769    1095    all
329    36.751361    4.098082    0.018538    0.011555    1086    all
330    42.940604    3.148741    0.016886    0.009559    1013    all
331    66.818182    1.681560    0.039385    0.007381    218    all
332    41.592920    1.322748    0.035271    0.009317    598    all
333    0.000000    3.269046    0.000617    0.010769    703    all
334    33.975904    2.934763    0.023663    0.009196    830    all
335    0.000000    3.789479    0.000780    0.010043    790    all
336    8.633094    4.596748    0.001725    0.009559    482    all
337    35.793358    2.762260    0.022229    0.007381    771    all
338    28.391167    1.349257    0.016057    0.004235    303    all
339    30.633803    3.589499    0.012506    0.007744    206    all
340    26.582278    3.385935    0.016502    0.008530    551    all
341    27.272727    2.330027    0.019690    0.011979    336    all
342    33.240997    2.952541    0.010481    0.011616    317    all
343    36.000000    2.484774    0.017860    0.010406    531    all
344    18.214286    4.155508    0.009393    0.012342    237    all
345    24.411135    3.665961    0.008638    0.009075    464    all
346    44.047619    2.380439    0.039740    0.012523    247    all
347    38.709677    0.301948    0.016165    0.007260    280    all
