---------------------------------
    Results for GMC_DMSO_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
118    0.000000    3.100300    0.000651    0.008651    1150    all
119    6.005222    1.398654    0.000418    0.007502    1126    all
120    49.086162    1.571963    0.021231    0.005203    1143    all
121    41.250000    2.583622    0.024775    0.004235    224    all
122    29.242820    1.175912    0.016456    0.008228    1150    all
123    0.000000    1.632779    0.001378    0.003267    202    all
124    16.153846    2.022897    0.000279    0.007502    495    all
125    33.039648    2.548215    0.009778    0.003872    226    all
126    54.569191    3.893684    0.021857    0.006050    1150    all
127    42.643392    2.378882    0.020150    0.006171    402    all
128    38.729508    2.354074    0.000495    0.008591    479    all
129    11.180124    3.362053    0.009746    0.007623    591    all
130    0.000000    1.920779    0.001289    0.007986    454    all
131    58.224543    2.932602    0.024001    0.006292    1150    all
132    32.637076    2.819280    0.011651    0.006413    1150    all
133    27.173913    1.229139    0.011064    0.008954    812    all
134    31.318681    1.829894    0.019538    0.007744    365    all
135    55.522388    4.300106    0.027389    0.006292    325    all
136    15.404700    2.215678    0.012025    0.009075    1149    all
137    33.807829    2.687505    0.018739    0.007744    842    all
138    26.415094    1.049701    0.018393    0.009317    635    all
139    32.038835    1.357720    0.016301    0.007623    207    all
140    5.649718    3.369186    0.003767    0.007865    1028    all
141    13.838120    3.867575    0.012488    0.006534    1149    all
142    4.177546    2.289044    0.007074    0.007623    1150    all
143    5.744125    0.129009    0.001548    0.006655    1150    all
144    34.986945    2.009851    0.013464    0.005082    1149    all
145    47.093023    1.321794    0.020884    0.004840    681    all
146    21.932115    3.012234    0.010335    0.006413    1148    all
147    18.276762    2.192492    0.000988    0.005929    1148    all
148    47.389558    3.785395    0.017176    0.006897    746    all
149    26.104972    0.706882    0.019176    0.005808    532    all
150    38.551402    0.351369    0.020068    0.003146    394    all
151    28.421053    1.803676    0.000484    0.003993    201    all
152    24.691358    2.057553    0.009430    0.008470    969    all
153    9.459459    2.631585    0.004420    0.008167    407    all
154    12.000000    0.598818    0.009326    0.006534    386    all
155    31.062670    0.224433    0.008976    0.003872    355    all
156    26.785714    2.151308    0.014505    0.005929    278    all
157    41.169451    2.371204    0.027163    0.003993    823    all
158    4.703833    3.409442    0.000405    0.008954    943    all
159    55.833333    1.869362    0.001155    0.007381    254    all
160    25.221239    3.796925    0.020485    0.007865    207    all
161    29.126214    2.121976    0.015406    0.009075    207    all
162    24.250681    3.454701    0.013732    0.007865    784    all
163    34.437086    0.138261    0.015934    0.004114    374    all
164    28.361345    3.090457    0.018452    0.004719    475    all
165    24.759285    0.330930    0.006295    0.007502    703    all
166    37.781109    3.025530    0.020817    0.004840    641    all
167    30.594901    1.307910    0.019064    0.006413    342    all
168    36.857143    2.055036    0.009321    0.003146    321    all
169    4.302103    2.168639    0.000489    0.005445    992    all
170    19.770774    3.379120    0.014455    0.007744    240    all
171    10.622010    1.951787    0.002160    0.005566    1016    all
172    19.911504    2.129429    0.012651    0.008228    212    all
173    30.592105    0.881591    0.011932    0.004356    280    all
174    21.600000    3.451167    0.025163    0.008470    248    all
175    38.709677    2.234796    0.013984    0.006655    275    all
176    23.611111    0.916052    0.018500    0.005687    407    all
177    36.834320    3.930939    0.018234    0.005808    675    all
178    29.497908    1.941555    0.007084    0.009559    374    all
179    29.411765    0.233094    0.019318    0.008470    610    all
180    33.232170    3.249409    0.002034    0.004356    648    all
181    45.125348    2.003048    0.009787    0.006050    713    all
