19,17,16,15
17,16,18,15
16,14,17,14
18,18,16,17
16,17,18,19
16,16,18,17
16,17,16,18
17,13,18,18
19,16,17,16
20,16,20,16
18,16,19,15
20,14,17,16
21,18,17,20
18,19,17,15
19,21,16,19
19,18,15,18
19,17,19,18
16,17,18,16
19,17,18,18
17,18,15,17
17,18,15,13
19,17,17,17
17,19,20,16
18,17,18,16
17,19,18,19
17,17,17,16
18,20,19,16
18,18,19,18
17,17,18,16
15,18,17,19
18,15,19,17
17,16,19,17
19,19,17,18
19,20,19,18
19,17,18,18
19,21,19,21
19,14,18,17
21,20,14,14
20,15,14,20
20,18,16,22
15,21,17,17
19,16,19,19
19,17,19,17
19,16,17,19
18,20,18,20
17,16,18,18
17,16,17,19
18,15,16,17
17,17,18,22
15,17,20,17
19,18,16,17
20,17,18,19
18,19,16,20
18,18,12,19
16,18,17,15
17,16,16,19
16,17,19,19
17,18,15,17
16,15,16,18
14,19,16,16
16,16,18,21
20,16,16,18
14,18,16,17
22,17,14,16
16,14,16,14
17,18,17,18
15,16,15,16
18,16,16,16
18,20,16,17
22,19,17,18
14,14,17,19
18,17,18,14
16,21,16,20
17,22,17,20
18,18,16,18
17,16,18,18
17,19,19,16
17,17,17,19
15,16,12,15
18,17,19,14
13,17,20,17
18,16,16,17
17,17,16,15
14,16,14,17
16,15,17,13
17,15,18,18
15,14,12,14
15,15,17,17
17,15,17,14
16,16,17,15
16,17,16,18
13,17,17,13
14,16,17,15
18,16,15,17
17,18,15,15
14,17,16,15
18,16,16,16
16,17,15,16
16,16,15,14
17,15,16,19
13,14,16,16
14,14,17,18
17,14,17,16
17,17,15,16
15,16,17,15
15,14,14,16
15,15,15,16
18,16,17,14
17,16,17,18
16,15,16,15
17,16,16,17
16,16,17,13
17,16,16,18
17,15,15,15
16,17,15,16
18,16,16,16
16,16,15,17
17,16,15,15
15,16,16,15
18,16,16,18
15,18,17,15
16,17,16,18
17,18,16,13
17,16,16,16
16,14,16,17
16,16,18,14
16,15,21,19
14,14,15,18
15,15,14,17
14,17,16,20
16,16,19,15
15,16,18,18
17,16,17,19
16,15,15,18
17,15,18,17
17,18,17,18
16,15,17,14
15,16,18,14
18,15,17,17
16,17,14,16
17,18,14,15
17,16,13,16
20,16,17,17
17,16,18,19
15,15,17,16
19,18,18,18
16,16,19,16
14,18,17,21
17,16,17,16
16,15,14,19
16,18,16,17
16,16,17,17
16,17,18,17
18,17,19,16
17,16,19,17
15,13,18,18
17,16,19,16
16,17,18,18
18,16,18,17
16,16,18,18
19,18,17,16
19,16,18,15
20,20,19,17
19,14,17,14
17,17,18,15
18,16,14,18
16,16,17,14
19,18,16,14
15,16,17,17
16,15,17,17
19,15,16,20
19,18,17,18
18,19,18,18
16,18,18,17
18,16,18,18
14,16,18,19
18,18,18,16
18,14,17,17
18,18,19,17
18,16,18,17
18,18,17,16
18,18,19,19
18,16,19,19
19,17,16,16
17,18,17,17
16,18,17,20
17,17,19,17
17,19,18,19
16,16,14,18
17,20,19,18
16,16,19,19
21,17,15,19
17,17,18,18
17,18,19,19
18,18,19,19
17,18,17,19
20,19,16,20
18,17,15,20
17,17,15,22
19,18,18,22
19,17,18,22
20,15,17,23
18,20,21,22
19,24,15,23
18,15,17,17
16,23,16,22
19,12,18,24
16,16,16,23
14,18,16,28
18,18,17,29
16,17,17,31
17,17,19,32
17,18,17,35
23,19,16,37
19,17,20,45
26,17,18,45
20,17,17,48
23,17,18,56
23,18,17,59
24,15,17,63
24,15,15,66
32,17,18,73
29,16,19,77
28,19,18,78
30,21,19,83
30,19,25,87
32,17,23,93
31,18,21,92
34,16,23,94
35,18,26,99
34,15,28,98
36,17,28,99
35,19,28,102
37,16,31,103
36,19,32,102
38,18,33,103
39,18,31,104
37,19,35,104
39,21,36,105
43,22,35,106
41,23,36,106
38,22,37,104
40,25,39,106
38,28,40,102
39,27,39,108
40,27,39,107
42,29,41,108
40,31,41,108
41,34,42,107
38,30,40,108
37,32,41,109
38,32,39,107
40,34,40,108
42,36,43,109
38,35,44,112
39,37,42,109
39,35,42,107
40,37,42,109
40,38,40,109
38,34,42,110
39,38,43,107
39,36,42,108
42,37,39,111
40,40,40,109
40,38,42,109
42,38,41,113
37,37,42,110
40,37,42,110
41,37,43,111
36,38,45,113
37,40,44,109
39,39,39,110
38,37,46,111
38,40,46,112
41,39,42,110
38,39,43,110
41,39,44,114
36,38,44,112
42,38,41,111
39,35,42,110
41,38,43,109
39,38,40,111
41,38,43,110
38,38,44,111
39,37,43,110
40,39,43,111
40,35,43,113
42,41,44,113
39,38,42,111
40,39,44,114
38,38,43,113
38,38,44,110
39,36,43,115
38,39,39,112
39,42,42,114
38,37,43,117
37,38,42,112
39,37,41,111
41,39,41,110
40,38,43,114
39,38,42,116
39,39,44,115
39,37,42,113
41,37,43,115
41,36,45,114
38,36,42,116
